factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
1,AGX,100.0,2026-05-20,630.5,-0.124208,-0.032501,0.408624,0.689035,1.049289,100.0,100.0,75.0,1.923077,100.0,88.461538,98.039216,65.384615,90.384615,PULLBACK_IN_UPTREND
2,MTZ,98.08,2026-05-20,384.209991,-0.093395,0.020478,0.335454,0.866275,1.037233,94.230769,91.666667,67.307692,9.615385,98.076923,90.384615,96.078431,61.538462,84.615385,PULLBACK_IN_UPTREND
3,AEIS,96.15,2026-05-20,313.049988,-0.077066,-0.170047,-0.067582,0.520251,1.387391,90.384615,,96.153846,7.692308,96.153846,78.846154,92.156863,75.0,26.923077,NEUTRAL_SHADOW
4,ALM,94.23,2026-05-20,17.639999,-0.096774,-0.243892,0.063932,1.845161,0.992999,96.153846,,55.769231,11.538462,94.230769,100.0,100.0,96.153846,61.538462,NEUTRAL_SHADOW
5,BLTE,92.31,2026-05-20,143.360001,-0.06618,-0.14371,-0.229868,0.121753,1.662741,88.461538,,98.076923,5.769231,92.307692,38.461538,80.392157,17.307692,5.769231,NEUTRAL_SHADOW
6,AA,90.38,2026-05-20,64.139999,-0.062829,-0.06406,0.044455,0.636224,1.024831,86.538462,,63.461538,15.384615,90.384615,82.692308,94.117647,48.076923,59.615385,NEUTRAL_SHADOW
7,BIDU,88.46,2026-05-20,135.220001,-0.101528,0.096764,0.011898,0.147099,1.115927,98.076923,83.333333,78.846154,3.846154,88.461538,67.307692,84.313725,86.538462,73.076923,PULLBACK_IN_UPTREND
8,MTSI,86.54,2026-05-20,375.709991,-0.015306,0.356354,0.51319,1.26495,1.134321,61.538462,41.666667,82.692308,38.461538,86.538462,98.076923,90.196078,71.153846,98.076923,NEUTRAL_SHADOW
9,CLH,84.62,2026-05-20,291.399994,-0.038125,-0.042707,0.023677,0.301706,0.968043,73.076923,,46.153846,26.923077,84.615385,73.076923,82.352941,38.461538,57.692308,NEUTRAL_SHADOW
10,LYB,82.69,2026-05-20,71.300003,-0.033089,-0.009722,0.222565,0.516699,0.79223,71.153846,,17.307692,34.615385,82.692308,84.615385,88.235294,23.076923,76.923077,NEUTRAL_SHADOW
11,OC,80.77,2026-05-20,113.43,-0.043269,-0.076904,-0.104241,0.037976,1.049141,75.0,,73.076923,25.0,80.769231,44.230769,74.509804,50.0,21.153846,NEUTRAL_SHADOW
12,BAC,78.85,2026-05-20,51.23,0.027889,-0.03558,0.016267,-0.023819,1.269991,26.923077,,92.307692,76.923077,78.846154,53.846154,36.27451,3.846154,53.846154,VOLUME_UP_CONFIRM
13,MOH,76.92,2026-05-20,182.240005,-0.050685,0.191111,0.228778,0.241671,0.696079,76.923077,75.0,3.846154,30.769231,76.923077,80.769231,86.27451,73.076923,86.538462,PULLBACK_IN_UPTREND
14,APG,75.0,2026-05-20,42.040001,-0.028202,-0.133375,-0.06557,0.078779,0.777154,67.307692,,11.538462,36.538462,75.0,59.615385,76.470588,28.846154,28.846154,NEUTRAL_SHADOW
15,CHRW,73.08,2026-05-20,180.639999,0.106456,-0.009378,0.018551,0.148014,1.334857,3.846154,50.0,94.230769,98.076923,73.076923,69.230769,36.27451,53.846154,55.769231,VOLUME_UP_CONFIRM
16,NI,71.15,2026-05-20,47.02,-0.000638,0.003629,0.012926,0.08994,0.757383,55.769231,,7.692308,46.153846,71.153846,63.461538,72.54902,1.923077,51.923077,NEUTRAL_SHADOW
17,CDNS,69.23,2026-05-20,350.890015,-0.010323,0.058141,0.207343,0.155536,0.723505,59.615385,58.333333,5.769231,42.307692,69.230769,75.0,78.431373,40.384615,75.0,NEUTRAL_SHADOW
18,BALL,67.31,2026-05-20,56.810001,0.006377,-0.093506,-0.145971,0.150466,0.837456,48.076923,,21.153846,51.923077,67.307692,57.692308,36.27451,25.0,17.307692,NEUTRAL_SHADOW
19,NU,65.38,2026-05-20,12.79,-0.00234,-0.138721,-0.226255,-0.229982,1.695683,57.692308,,100.0,44.230769,65.384615,9.615385,36.27451,34.615385,7.692308,NEUTRAL_SHADOW
20,BITF,63.46,2026-05-20,4.235,0.020482,0.393092,0.920635,0.528881,0.984848,34.615385,66.666667,51.923077,65.384615,63.461538,92.307692,36.27451,98.076923,100.0,MOMENTUM_STRONG_NOT_PULLBACK
21,BN,61.54,2026-05-20,45.34,0.005544,-0.018402,0.007779,-0.015204,0.964614,51.923077,,44.230769,53.846154,61.538462,55.769231,36.27451,32.692308,50.0,NEUTRAL_SHADOW
22,MPLX,59.62,2026-05-20,55.439999,0.011494,-0.004668,-0.058584,0.037037,0.903068,44.230769,,30.769231,57.692308,59.615385,51.923077,36.27451,5.769231,44.230769,NEUTRAL_SHADOW
23,LYFT,57.69,2026-05-20,13.35,-0.024123,-0.075485,-0.013304,-0.319918,1.210515,65.384615,,90.384615,32.692308,57.692308,19.230769,36.27451,13.461538,42.307692,NEUTRAL_SHADOW
24,CHPT,55.77,2026-05-20,6.23,-0.031104,-0.122535,-0.014241,-0.199229,1.150862,69.230769,,84.615385,28.846154,55.769231,28.846154,36.27451,46.153846,40.384615,NEUTRAL_SHADOW
