factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
1,LITE,100.0,2026-05-29,854.960022,-0.113572,-0.052487,0.255817,1.607778,0.805803,99.047619,100.0,15.238095,1.904762,100.0,79.047619,100.0,80.952381,31.428571,PULLBACK_IN_UPTREND
2,BE,99.05,2026-05-29,285.0,-0.074315,0.005788,0.729579,1.413414,0.99318,98.095238,90.804598,54.285714,4.761905,99.047619,82.857143,99.047619,73.333333,68.571429,PULLBACK_IN_UPTREND
3,FIX,98.1,2026-05-29,1828.209961,-0.003879,-0.006153,0.279294,0.821407,1.037033,82.857143,83.908046,61.904762,18.095238,98.095238,56.190476,85.714286,23.809524,34.285714,PULLBACK_IN_UPTREND
4,VRT,97.14,2026-05-29,315.709991,-0.023779,-0.038905,0.256706,0.72995,1.022833,89.52381,95.402299,60.0,9.52381,97.142857,50.47619,91.428571,49.52381,32.380952,PULLBACK_IN_UPTREND
5,NVDA,96.19,2026-05-29,211.139999,-0.03813,0.057975,0.153581,0.151442,1.150959,93.333333,88.505747,78.095238,5.714286,96.190476,20.952381,89.52381,15.238095,18.095238,PULLBACK_IN_UPTREND
6,FN,95.24,2026-05-29,654.159973,-0.069831,-0.042884,0.160126,0.386578,1.148245,96.190476,96.551724,77.142857,3.809524,95.238095,29.52381,93.333333,68.571429,19.047619,PULLBACK_IN_UPTREND
7,FORM,94.29,2026-05-29,124.589996,-0.026641,-0.083425,0.345464,1.17245,0.747435,90.47619,98.850575,8.571429,12.380952,94.285714,72.380952,94.285714,69.52381,42.857143,PULLBACK_IN_UPTREND
8,GLW,93.33,2026-05-29,181.160004,-0.054471,0.10471,0.252676,1.127283,0.742079,95.238095,94.252874,7.619048,6.666667,93.333333,68.571429,97.142857,72.380952,29.52381,PULLBACK_IN_UPTREND
9,COHR,92.38,2026-05-29,361.470001,-0.04373,0.130618,0.315106,1.038173,0.828772,94.285714,91.954023,21.904762,7.619048,92.380952,66.666667,96.190476,70.47619,40.0,PULLBACK_IN_UPTREND
10,CIEN,91.43,2026-05-29,580.22998,-0.01192,0.099795,0.688924,1.964441,1.059277,86.666667,58.62069,65.714286,14.285714,91.428571,85.714286,92.380952,55.238095,66.666667,NEUTRAL_SHADOW
11,GEV,90.48,2026-05-29,968.320007,-0.07233,-0.106271,0.151718,0.541255,1.198475,97.142857,,84.761905,2.857143,90.47619,40.952381,95.238095,27.619048,17.142857,NEUTRAL_SHADOW
12,INTC,89.52,2026-05-29,114.68,-0.032236,0.213802,1.516016,1.831605,0.806233,92.380952,89.655172,16.190476,8.571429,89.52381,92.380952,98.095238,78.095238,90.47619,PULLBACK_IN_UPTREND
13,KEYS,88.57,2026-05-29,338.329987,0.002311,-0.033094,0.124319,0.618262,1.131874,80.952381,77.011494,74.285714,20.0,88.571429,41.904762,41.904762,13.333333,14.285714,NEUTRAL_SHADOW
14,PWR,87.62,2026-05-29,711.72998,-0.007225,-0.02204,0.252454,0.531829,0.846276,83.809524,82.758621,26.666667,17.142857,87.619048,43.809524,86.666667,22.857143,28.571429,PULLBACK_IN_UPTREND
15,GOOGL,86.67,2026-05-29,380.339996,-0.018883,-0.01159,0.255592,0.199095,1.024029,88.571429,73.563218,60.952381,13.333333,86.666667,26.666667,88.571429,10.47619,30.47619,NEUTRAL_SHADOW
16,TXN,85.71,2026-05-29,305.679993,0.024431,0.093045,0.518025,0.716847,1.190153,66.666667,65.517241,82.857143,37.142857,85.714286,62.857143,41.904762,14.285714,58.095238,NEUTRAL_SHADOW
17,ICHR,84.76,2026-05-29,71.519997,0.094917,0.084129,0.533119,3.112708,0.987425,32.380952,72.413793,53.333333,69.52381,84.761905,94.285714,41.904762,65.714286,60.0,MOMENTUM_STRONG_NOT_PULLBACK
18,ACMR,83.81,2026-05-29,86.559998,0.209107,0.674599,0.670397,1.500289,1.26337,9.52381,71.264368,88.571429,93.333333,83.809524,83.809524,41.904762,74.285714,86.666667,VOLUME_UP_CONFIRM
19,ACLS,82.86,2026-05-29,150.410004,-0.01377,0.081231,0.736435,0.688103,0.698442,87.619048,87.356322,2.857143,16.190476,82.857143,69.52381,90.47619,82.857143,69.52381,PULLBACK_IN_UPTREND
20,AMKR,81.9,2026-05-29,69.559998,0.055539,-0.002724,0.522685,0.614018,1.13915,50.47619,80.45977,76.190476,54.285714,81.904762,58.095238,41.904762,67.619048,59.047619,NEUTRAL_SHADOW
21,D,80.95,2026-05-29,66.940002,-0.009953,0.048221,0.080554,0.154783,1.13827,84.761905,47.126437,75.238095,15.238095,80.952381,19.047619,83.809524,16.190476,11.428571,NEUTRAL_SHADOW
