factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
112,AAL,50.0,2026-05-20,12.95,0.018883,0.126087,-0.015209,-0.03789,1.168028,38.461538,,86.538462,69.230769,50.0,46.153846,36.27451,51.923077,82.692308,NEUTRAL_SHADOW
113,HTZ,49.787108,2026-05-21,5.059999942779541,-0.132075,-0.142373,0.144796,-0.011719,0.694524,83.01875,77.358333,12.968267,16.853089,49.787108,37.769233,77.358333,,,STAGED_R25B_RECOMPUTE
114,GOOG,49.627364,2026-05-20,384.8999938964844,-0.035435,0.139668,0.237939,0.189284,0.925209,58.85875,45.145,28.347267,54.870348,49.627364,47.5741,45.145,,,V18_35D_RECOMPUTE
115,TQQQ,49.52,2026-05-18,74.32,-0.034304,0.279614,0.487073,0.570334,1.021381,41.904762,33.766234,61.904762,57.142857,49.52381,62.857143,51.428571,34.285714,72.380952,NEUTRAL_SHADOW
116,XENE,49.092485,2026-05-21,54.119998931884766,-0.033571,-0.023281,0.214133,0.216453,0.891641,58.39275,44.523667,26.1094,29.873618,49.092485,47.6862,44.523667,,,STAGED_R25B_RECOMPUTE
117,TWST,48.622467,2026-05-21,53.935001373291016,0.018602,-0.083517,0.087838,0.70142,1.015424,45.3495,27.132667,34.3616,19.199139,48.622467,59.641933,27.132667,,,STAGED_R25B_RECOMPUTE
118,ETN,48.57,2026-05-18,381.869995,-0.088616,-0.060467,0.028762,0.157997,0.903314,69.52381,,37.142857,32.380952,48.571429,20.0,47.619048,23.809524,13.333333,NEUTRAL_SHADOW
119,APO,48.08,2026-05-20,132.240005,0.004863,0.02464,0.158679,0.012402,0.929936,53.846154,33.333333,38.461538,50.0,48.076923,71.153846,36.27451,21.153846,69.230769,NEUTRAL_SHADOW
120,XLK,47.62,2026-05-18,174.360001,-0.019789,0.128106,0.239188,0.279953,1.222964,37.142857,19.480519,87.619048,61.904762,47.619048,37.142857,45.714286,6.666667,41.904762,NEUTRAL_SHADOW
121,EQIX,47.465445,2026-05-20,1065.06005859375,-0.011343,-0.033766,0.118878,0.423592,0.821454,52.83575,37.114333,21.430267,28.710464,47.465445,51.415667,37.114333,,,V18_35D_RECOMPUTE
122,U,47.243256,2026-05-21,25.799999237060547,-0.054252,0.061292,0.38859,-0.392512,0.748943,63.563,51.417333,16.5962,40.984036,47.243256,33.2026,51.417333,,,STAGED_R25B_RECOMPUTE
123,RNG,46.935276,2026-05-21,41.6349983215332,0.058069,0.077789,0.207512,0.491225,0.785104,35.48275,13.977,19.006933,43.512076,46.935276,56.624567,13.977,,,STAGED_R25B_RECOMPUTE
124,JD,46.681837,2026-05-20,32.459999084472656,-0.038792,0.060438,0.179506,0.113933,1.146216,59.698,46.264,43.081067,44.879167,46.681837,43.114633,46.264,,,V18_35D_RECOMPUTE
125,CIFR,46.67,2026-05-18,19.120001,-0.057199,-0.008813,0.30512,0.351237,0.960531,51.428571,67.532468,49.52381,47.619048,46.666667,40.952381,54.285714,95.238095,52.380952,NEUTRAL_SHADOW
126,PTGX,46.454887,2026-05-21,100.05000305175781,-0.052108,-0.025044,0.14868,0.110803,0.695265,63.027,50.702667,13.017667,30.431297,46.454887,41.982767,50.702667,,,STAGED_R25B_RECOMPUTE
127,BABA,46.15,2026-05-20,134.470001,-0.077772,-0.014294,-0.121743,-0.143558,1.110092,92.307692,,76.923077,13.461538,46.153846,23.076923,36.27451,57.692308,34.615385,NEUTRAL_SHADOW
128,ENPH,45.82548,2026-05-20,53.150001525878906,0.265476,0.503111,0.068556,0.918080,1.531475,0.0,0.0,68.765,100.0,45.82548,66.2212,0.0,,,V18_35D_RECOMPUTE
129,ECL,45.71,2026-05-18,249.210007,-0.007527,-0.096017,-0.178466,-0.06175,1.084583,30.47619,,75.238095,70.47619,45.714286,7.619048,17.142857,3.809524,3.809524,NEUTRAL_SHADOW
130,CRS,45.617547,2026-05-20,422.010009765625,-0.032841,-0.004482,0.075267,0.307180,0.761049,58.21025,44.280333,17.403267,32.76483,45.617547,46.081567,44.280333,,,V18_35D_RECOMPUTE
131,YPF,45.333793,2026-05-21,47.939998626708984,0.085352,0.106904,0.28491,0.329451,1.438764,28.662,4.882667,62.584267,58.968271,45.333793,53.812033,4.882667,,,STAGED_R25B_RECOMPUTE
132,TSM,44.76,2026-05-18,395.950012,-0.021234,0.081122,0.071587,0.447457,1.018231,39.047619,31.168831,58.095238,62.857143,44.761905,36.190476,46.666667,24.761905,28.571429,NEUTRAL_SHADOW
133,SNPS,44.704445,2026-05-21,501.55499267578125,-0.016597,0.097855,0.116626,0.22426,0.960193,54.14925,38.865667,30.679533,48.993281,44.704445,44.6962,38.865667,,,STAGED_R25B_RECOMPUTE
134,XPO,44.316081,2026-05-21,203.57000732421875,-0.009633,-0.094278,0.025593,0.436323,0.844604,52.40825,36.544333,22.9736,20.062071,44.316081,48.730533,36.544333,,,STAGED_R25B_RECOMPUTE
135,KNX,44.231138,2026-05-20,71.0,0.187887,0.109722,0.178815,0.562500,1.406674,3.02825,0.0,60.444933,59.057181,44.231138,58.043833,0.0,,,V18_35D_RECOMPUTE
136,NFLX,44.23,2026-05-20,88.089996,0.006053,-0.055234,0.12878,-0.156226,0.905308,50.0,,34.615385,55.769231,44.230769,48.076923,36.27451,7.692308,65.384615,NEUTRAL_SHADOW
137,TSLA,43.81,2026-05-18,409.98999,-0.078674,0.04456,-0.004444,0.048326,0.94197,63.809524,,46.666667,36.190476,43.809524,17.142857,37.142857,15.238095,20.0,NEUTRAL_SHADOW
138,TEVA,43.472792,2026-05-21,33.93000030517578,-0.039082,0.087152,0.009221,0.289134,0.603964,59.7705,46.360667,6.930933,42.106112,43.472792,43.2785,46.360667,,,STAGED_R25B_RECOMPUTE
139,SFM,43.305923,2026-05-21,84.61499786376953,-0.027078,0.166299,0.147633,0.015908,0.920891,56.7695,42.359333,28.0594,58.857209,43.305923,38.7847,42.359333,,,STAGED_R25B_RECOMPUTE
140,IBIT,43.17662,2026-05-20,43.9900016784668,-0.025044,-0.016983,0.204216,-0.112389,1.063327,56.261,41.681333,37.555133,30.323586,43.17662,36.394233,41.681333,,,V18_35D_RECOMPUTE
141,GNRC,42.86,2026-05-18,253.050003,-0.067612,0.164734,0.104106,0.732745,0.848337,55.238095,54.545455,21.904762,45.714286,42.857143,47.619048,58.095238,60.0,56.190476,NEUTRAL_SHADOW
142,EEM,42.734905,2026-05-20,65.45999908447266,-0.026038,0.032818,0.045353,0.215599,1.190178,56.5095,42.012667,46.011867,39.84321,42.734905,42.031733,42.012667,,,V18_35D_RECOMPUTE
143,MCK,42.31,2026-05-20,754.679993,0.023739,-0.089903,-0.211707,-0.151358,0.989526,30.769231,,53.846154,73.076923,42.307692,13.461538,36.27451,19.230769,15.384615,NEUTRAL_SHADOW
144,ET,42.091675,2026-05-20,20.15999984741211,0.002985,0.057158,0.072340,0.239090,0.733279,49.25375,32.338333,15.551933,40.318794,42.091675,43.714333,32.338333,,,V18_35D_RECOMPUTE
145,TTWO,42.051832,2026-05-21,239.8000030517578,-0.010767,0.142449,0.156722,-0.015721,1.066604,52.69175,36.922333,37.7736,58.656112,42.051832,38.033367,36.922333,,,STAGED_R25B_RECOMPUTE
146,APH,41.9,2026-05-18,121.720001,-0.006124,-0.203455,-0.192528,-0.071461,1.093204,29.52381,,76.190476,71.428571,41.904762,6.666667,17.142857,22.857143,2.857143,NEUTRAL_SHADOW
147,PTON,41.798217,2026-05-21,5.074999809265137,-0.02027,0.025253,0.231796,-0.244792,0.728443,55.0675,40.09,15.229533,36.399229,41.798217,32.900133,40.09,,,STAGED_R25B_RECOMPUTE
148,QSR,41.737146,2026-05-21,75.20500183105469,-0.016156,-0.074172,0.112171,0.041332,0.539603,54.039,38.718667,2.6402,26.662761,41.737146,38.4501,38.718667,,,STAGED_R25B_RECOMPUTE
149,IWM,41.139523,2026-05-20,279.8699951171875,-0.009906,0.012261,0.062811,0.141721,1.075728,52.4765,36.635333,38.381867,35.531584,41.139523,40.151067,36.635333,,,V18_35D_RECOMPUTE
150,VST,40.95,2026-05-18,136.75,-0.100625,-0.14317,-0.20107,-0.186622,1.127926,75.238095,,80.0,19.047619,40.952381,1.904762,17.142857,18.095238,1.904762,NEUTRAL_SHADOW
151,LIN,40.875635,2026-05-20,506.6300048828125,-0.012917,0.024281,0.005218,0.242197,0.998237,53.22925,37.639,33.2158,37.373032,40.875635,41.5805,37.639,,,V18_35D_RECOMPUTE
152,GS,40.75885,2026-05-20,982.1199951171875,0.027946,0.050575,0.088499,0.224100,1.107231,43.0135,24.018,40.482067,42.666368,40.75885,43.7533,24.018,,,V18_35D_RECOMPUTE
153,QS,40.451703,2026-05-21,7.989999771118164,-0.07093,0.078273,0.136558,-0.338576,0.734616,67.7325,56.976667,15.641067,42.916766,40.451703,26.5994,56.976667,,,STAGED_R25B_RECOMPUTE
154,ADBE,40.38,2026-05-20,253.369995,0.073283,-0.010041,-0.007054,-0.207104,1.11981,7.692308,,80.769231,94.230769,40.384615,26.923077,36.27451,42.307692,46.153846,VOLUME_UP_CONFIRM
155,ACM,40.0,2026-05-18,71.489998,-0.100755,-0.172952,-0.267012,-0.304719,1.53089,76.190476,,96.190476,10.47619,40.0,0.952381,17.142857,28.571429,0.952381,NEUTRAL_SHADOW
156,OKTA,39.44895,2026-05-21,90.19000244140625,0.11277,0.186086,0.235395,0.119538,1.047657,21.8075,0.0,36.510467,65.825717,39.44895,45.164433,0.0,,,STAGED_R25B_RECOMPUTE
