"ticker","symbol","run_time_jst","source_file","compat_status"
"AAPL","AAPL","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ACLS","ACLS","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ACM","ACM","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ACMR","ACMR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"AEHR","AEHR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ALAB","ALAB","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"AMAT","AMAT","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"AMD","AMD","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"AMKR","AMKR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"AMZN","AMZN","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ANET","ANET","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"APH","APH","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ARM","ARM","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ASML","ASML","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"AVGO","AVGO","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"BE","BE","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"BTDR","BTDR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CAMT","CAMT","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CARR","CARR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CEG","CEG","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CIEN","CIEN","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CIFR","CIFR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CLS","CLS","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
