ticker,run_time_jst,source_file
AAPL,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
ACLS,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
ACM,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
ACMR,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
AEHR,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
ALAB,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
AMAT,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
AMD,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
AMKR,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
AMZN,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
ANET,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
APH,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
ARM,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
ASML,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
AVGO,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
BE,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
BTDR,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
CAMT,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
CARR,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
CEG,2026-05-27 22:47:44,D:\us-tech-quant\configs\v16\universe\us_full_second_stage_generated.yaml
