source_path,source_type,parsed_ticker_count,ticker_overlap_with_current_universe_count,ticker_overlap_with_current_universe_ratio,contains_ohlcv_history,contains_latest_only,selected_for_any_universe_ticker,selected_ticker_count,rejected_reason_if_not_selected,source_relevance_status
D:\us-tech-quant\outputs\v18\candidates\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv,PRICE_REFERENCE,20,20,0.061538,FALSE,FALSE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\candidates\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_AUDIT.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
D:\us-tech-quant\outputs\v18\data\V18_16C_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,PRICE_REFERENCE,65,65,0.200000,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\data\V18_16C_P1_SCOPED_YFINANCE_SMOKE_PRICE_AUDIT.csv,PRICE_REFERENCE,105,105,0.323077,TRUE,FALSE,FALSE,0,LOWER_PRIORITY_THAN_SELECTED_PER_TICKER_SOURCE,RELEVANT_NOT_SELECTED_LOWER_PRIORITY
D:\us-tech-quant\outputs\v18\data\V18_16C_P2_YFINANCE_CACHE_REPAIR_PRICE_AUDIT.csv,PRICE_REFERENCE,105,105,0.323077,TRUE,FALSE,FALSE,0,LOWER_PRIORITY_THAN_SELECTED_PER_TICKER_SOURCE,RELEVANT_NOT_SELECTED_LOWER_PRIORITY
D:\us-tech-quant\outputs\v18\data\V18_16C_P3_LOCAL_CACHE_BOOTSTRAP_AUDIT.csv,CSV_REFERENCE,105,105,0.323077,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\data\V18_16C_P3_LOCAL_PRICE_SOURCE_DISCOVERY.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
D:\us-tech-quant\outputs\v18\data\V18_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,PRICE_REFERENCE,65,65,0.200000,FALSE,TRUE,FALSE,0,SUMMARY_OR_SNAPSHOT_NOT_USABLE_HISTORY,SUMMARY_NOT_HISTORY
D:\us-tech-quant\outputs\v18\ops\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_INPUT_AUDIT.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
D:\us-tech-quant\outputs\v18\ops\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_SUMMARY.csv,PRICE_REFERENCE,0,0,0.000000,FALSE,FALSE,FALSE,0,NO_CURRENT_UNIVERSE_TICKER_OVERLAP,IRRELEVANT_NO_UNIVERSE_OVERLAP
