scenario_name,added_full_history_ticker_count,projected_local_price_data_available_count,projected_full_history_factor_ready_count,projected_score_ready_count,projected_score_ready_ratio,projected_no_local_price_data_count,notes
CURRENT,0,105,104,104,0.320000,220,ADVISORY_PROJECTION_ONLY
BACKFILL_TOP_25,25,130,129,129,0.396923,195,ADVISORY_PROJECTION_ONLY
BACKFILL_TOP_50,50,155,154,154,0.473846,170,ADVISORY_PROJECTION_ONLY
BACKFILL_TOP_100,100,205,204,204,0.627692,120,ADVISORY_PROJECTION_ONLY
BACKFILL_ALL_MISSING,221,325,325,325,1.000000,0,ADVISORY_PROJECTION_ONLY
