ticker,latest_date,latest_close,return_20d,return_60d,qqq_return_20d,qqq_return_60d,relative_strength_20d_vs_qqq,relative_strength_60d_vs_qqq,sma20,sma50,sma200,distance_to_20dma,distance_to_50dma,distance_to_200dma,rolling_52w_high,drawdown_from_52w_high,realized_volatility_20d,realized_volatility_60d,avg_volume_20d,volume_surge_20d,breakout_20d,breakout_60d,breakout_volume_confirmed,ma_alignment_label,ma_slope_20d,ma_slope_50d,ma_slope_200d,ma_slope_label,nearest_buy_zone_distance,buy_zone_label,price_factor_data_status,price_source_path
AEHR,2026-05-15,101.184998,0.206594,2.342748,0.094860,0.177192,0.111734,2.165556,94.153751,66.457300,35.957575,0.074678,0.522557,1.814011,106.339996,-0.048477,0.965442,1.271888,3054264.05,0.370230,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.072983,0.101359,0.060688,RISING_MA_SLOPES,-0.048477,BREAKOUT_NEAR,OK,D:\us-tech-quant\state\v18\price_cache\AEHR.csv
AEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
AEVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
AFRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
AGX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
ALAB,2026-05-15,229.505005,0.318615,0.730546,0.094860,0.177192,0.223755,0.553354,203.336250,158.677900,167.567275,0.128697,0.446358,0.369629,251.880005,-0.088832,0.828583,0.836857,5736484.05,0.509176,TRUE,TRUE,FALSE,BEARISH_ALIGNMENT,0.062622,0.068849,0.014493,RISING_MA_SLOPES,0.128697,EXTENDED_ABOVE_BUY_ZONE,OK,D:\us-tech-quant\state\v18\price_cache\ALAB.csv
ALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
AMAT,2026-05-15,438.660004,0.105104,0.186113,0.094860,0.177192,0.010244,0.008921,411.502998,380.846199,281.221550,0.065995,0.151804,0.559838,443.619995,-0.011181,0.486224,0.511369,6939651.50,0.904084,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.027232,0.020940,0.022707,RISING_MA_SLOPES,-0.011181,BREAKOUT_NEAR,OK,D:\us-tech-quant\state\v18\price_cache\AMAT.csv
AMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
AMD,2026-05-15,433.630005,0.557635,1.132222,0.094860,0.177192,0.462775,0.955030,372.188501,279.403201,224.236500,0.165082,0.551987,0.933807,458.790009,-0.054840,0.952007,0.706901,45855169.45,0.297517,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.140890,0.097804,0.031670,RISING_MA_SLOPES,0.165082,EXTENDED_ABOVE_BUY_ZONE,OK,D:\us-tech-quant\state\v18\price_cache\AMD.csv
AMKR,2026-05-15,70.860001,0.051803,0.465867,0.094860,0.177192,-0.043057,0.288675,73.140500,58.776600,42.040050,-0.031180,0.205582,0.685536,78.099998,-0.092702,0.620867,0.697962,5169237.90,0.248249,FALSE,FALSE,FALSE,MIXED_ALIGNMENT,0.039769,0.048953,0.031296,RISING_MA_SLOPES,-0.031180,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\AMKR.csv
AMZN,2026-05-15,262.100006,0.046057,0.279410,0.094860,0.177192,-0.048803,0.102218,264.425000,236.667200,229.407300,-0.008793,0.107462,0.142509,274.989990,-0.046874,0.222812,0.290936,44640098.80,0.406647,FALSE,FALSE,FALSE,MIXED_ALIGNMENT,0.018604,0.023472,0.003864,RISING_MA_SLOPES,-0.008793,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\AMZN.csv
ANET,2026-05-15,144.904999,-0.117670,0.055928,0.094860,0.177192,-0.212531,-0.121264,160.227249,146.235900,139.273874,-0.095628,-0.009101,0.040432,177.729996,-0.184690,0.688553,0.620167,11744010.90,0.311573,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,-0.022447,0.006989,0.004537,MIXED_MA_SLOPES,-0.009101,NEAR_50DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\ANET.csv
APG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
APH,2026-05-15,125.550003,-0.168873,-0.169643,0.094860,0.177192,-0.263733,-0.346835,139.681501,136.005400,132.515650,-0.101169,-0.076875,-0.052565,166.250000,-0.244812,0.445229,0.461666,10152897.55,0.364847,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,-0.038304,-0.007309,0.003892,FALLING_MA_SLOPES,-0.076875,BELOW_KEY_SUPPORT,OK,D:\us-tech-quant\state\v18\price_cache\APH.csv
APLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
APO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
APP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
ARGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
ARM,2026-05-15,212.020004,0.271637,0.670370,0.094860,0.177192,0.176777,0.493178,209.129001,167.867701,144.044300,0.013824,0.263018,0.471908,237.300003,-0.106532,1.091434,0.816752,11401098.75,0.439964,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.070403,0.058521,0.009389,RISING_MA_SLOPES,0.013824,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\ARM.csv
ASML,2026-05-15,1517.439941,0.039485,0.040105,0.094860,0.177192,-0.055375,-0.137087,1479.224493,1417.632002,1156.367298,0.025835,0.070405,0.312247,1592.020020,-0.046846,0.492723,0.492672,1648820.45,0.582725,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.013684,0.010947,0.018335,RISING_MA_SLOPES,0.025835,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\ASML.csv
AVGO,2026-05-15,426.204987,0.048372,0.276101,0.094860,0.177192,-0.046489,0.098909,418.585750,369.423101,346.832076,0.018202,0.153704,0.228851,439.790009,-0.030890,0.429274,0.418139,18674003.30,0.379649,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.020510,0.029427,0.009566,RISING_MA_SLOPES,0.018202,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\AVGO.csv
AXON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BE,2026-05-15,281.755005,0.355504,0.772044,0.094860,0.177192,0.260644,0.594852,264.456752,199.738101,127.015026,0.065411,0.410622,1.218281,303.410004,-0.071372,1.086333,1.137549,9986339.60,0.461299,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.084493,0.068480,0.052406,RISING_MA_SLOPES,0.065411,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\BE.csv
BIDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BITF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BKNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BLSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BLTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
