safety_check,status,notes
STAGED_BACKFILL_APPLIED,PASS,FALSE
FULL_HISTORY_BACKFILL_APPLIED,PASS,FALSE
EXTERNAL_DATA_FETCHED,PASS,FALSE
PRICE_CACHE_MODIFIED,PASS,FALSE
PRICE_HISTORY_WRITTEN,PASS,FALSE
STAGED_PRICE_HISTORY_WRITTEN,PASS,FALSE
RANKING_MODIFIED,PASS,FALSE
SIGNAL_SNAPSHOT_MODIFIED,PASS,FALSE
FORWARD_TRACKER_MODIFIED,PASS,FALSE
OFFICIAL_DECISION_IMPACT,PASS,NONE
AUTO_TRADE,PASS,DISABLED
AUTO_SELL,PASS,DISABLED
VALIDATION_POWERSHELL_PARSE_WRAPPER,PASS,Wrapper parses.
VALIDATION_PYTHON_COMPILE_SCRIPT,PASS,Python compiles.
VALIDATION_REQUIRED_OUTPUTS_EXIST,PASS,All outputs exist.
VALIDATION_REQUIRED_READ_FIRST_FIELDS_EXIST,PASS,All READ_FIRST fields exist.
VALIDATION_PRIORITY_PLAN_EXISTS,PASS,Priority plan exists.
VALIDATION_BATCH1_HAS_TICKERS,PASS,Batch1 count=25.
VALIDATION_NO_PROTECTED_FILES_MODIFIED,PASS,Changed protected files: 
VALIDATION_NO_FETCH_NO_WRITE,PASS,No fetch/write.
VALIDATION_CLAIMS_WEIGHTS_PROMOTIONS_ZERO,PASS,"No claims, weight changes, or promotions."
