batch_index,ticker,priority_tier,priority_score,priority_reason,current_research_use,expected_score_scope_after_backfill,expected_score_ready_after_backfill,recommended_backfill_depth,estimated_impact_group,batch_status,notes
1,AA,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,AAL,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,ABR,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,ADBE,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,ADMA,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,ADSK,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,AEIS,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,AEVA,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,AFRM,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,AGX,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
1,ALM,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,SIGNAL_SNAPSHOT_RELEVANT,FULL_HISTORY_FACTOR_READY,TRUE,FULL_OHLCV_252D_PLUS_VOLUME,BATCH_1,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED,Conservative dry-run batch plan; no fetch/write performed.
