ticker,factor_scope_class,mapping_status,score_scope,full_factor_score_ready,light_factor_score_ready,selected_price_source,score_readiness_reason
AA,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
AAL,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
AAPL,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\AAPL.csv,FULL_HISTORY_AVAILABLE
ABR,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ACLS,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ACLS.csv,FULL_HISTORY_AVAILABLE
ACM,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ACM.csv,FULL_HISTORY_AVAILABLE
ACMR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ACMR.csv,FULL_HISTORY_AVAILABLE
ADBE,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ADMA,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ADSK,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
AEHR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\AEHR.csv,FULL_HISTORY_AVAILABLE
AEIS,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
AEVA,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
AFRM,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
AGX,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ALAB,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ALAB.csv,FULL_HISTORY_AVAILABLE
ALM,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
AMAT,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\AMAT.csv,FULL_HISTORY_AVAILABLE
AMC,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
AMD,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\AMD.csv,FULL_HISTORY_AVAILABLE
AMKR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\AMKR.csv,FULL_HISTORY_AVAILABLE
AMZN,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\AMZN.csv,FULL_HISTORY_AVAILABLE
ANET,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ANET.csv,FULL_HISTORY_AVAILABLE
APG,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
APH,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\APH.csv,FULL_HISTORY_AVAILABLE
APLD,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
