planned_batch_index,ticker,priority_tier,priority_score,priority_reason,expected_factor_scope_after_backfill,expected_score_ready_after_backfill,notes
1,AA,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,AAL,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,ABR,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,ADBE,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,ADMA,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,ADSK,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,AEIS,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,AEVA,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,AFRM,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,AGX,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,ALM,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,AMC,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,APG,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,APLD,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,APO,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,APP,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
1,ARGT,WATCHLIST_OR_RESEARCH,500,UNIVERSE_TIER_RESEARCH,FULL_HISTORY_FACTOR_READY,TRUE,ADVISORY_PLAN_ONLY_NO_BACKFILL_APPLIED
