ticker,relative_strength_score,trend_structure_score,buy_zone_score,volume_confirmation_score,volatility_risk_score,price_derived_total_score,price_derived_status,score_ready,fatal_factor_fail,partial_degraded,scoring_degradation_reason,score_component_available_count,score_component_total_count,score_coverage_ratio
APO,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
APP,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
ARGT,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
ARM,4,3,2,0,-2,7,HIGH_VOL_CAUTION,TRUE,FALSE,FALSE,,5,5,1.000000
ASML,-2,3,2,0,0,3,STRONG_TREND_NEAR_BUY_ZONE,TRUE,FALSE,FALSE,,5,5,1.000000
AVGO,1,3,2,0,0,6,STRONG_TREND_NEAR_BUY_ZONE,TRUE,FALSE,FALSE,,5,5,1.000000
AXON,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
BABA,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
BAC,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
BALL,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
BE,4,3,2,0,-2,7,HIGH_VOL_CAUTION,TRUE,FALSE,FALSE,,5,5,1.000000
BIDU,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
BITF,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
BKNG,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
