ticker,run_time,semantic_layer,in_raw_universe,in_classified_universe,in_main_compute_universe,in_second_stage_candidate,raw_price_ok,price_status,latest_price_date,latest_close,special_tag,inferred_exclusion_reason,raw105_refresh_status,raw105_latest_price_date,raw105_latest_close,raw105_latest_volume,raw105_freshness_status,freshness_acceptance_status,freshness_max_latest_price_date,is_current_main_compute,is_current_second_stage,is_top_candidate_file,is_watchlist_file,candidate_tier,full_buy_decision,decision_reason_cn,tier_order
AAPL,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,300.2300109863281,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,308.3299865722656,47956900.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
ACLS,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,155.17999267578125,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,164.27000427246094,478500.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
ACM,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,71.30999755859375,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,72.47000122070312,1529200.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
ACMR,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,63.66999816894531,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,86.45999908447266,3613200.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AEHR,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,99.5,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,109.91999816894533,2689100.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
ALAB,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,232.67999267578125,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,318.7200012207031,8101800.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AMAT,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,436.6199951171875,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,454.8900146484375,8044400.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AMD,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,424.1000061035156,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,503.8900146484375,38281400.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AMKR,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,70.3499984741211,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,73.45999908447266,8587300.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AMZN,2026-05-27 22:22:57,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,264.1400146484375,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-26,265.2900085449219,37964400.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-26,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
