ticker,run_time,semantic_layer,in_raw_universe,in_classified_universe,in_main_compute_universe,in_second_stage_candidate,raw_price_ok,price_status,latest_price_date,latest_close,special_tag,inferred_exclusion_reason,raw105_refresh_status,raw105_latest_price_date,raw105_latest_close,raw105_latest_volume,raw105_freshness_status,freshness_acceptance_status,freshness_max_latest_price_date,is_current_main_compute,is_current_second_stage,is_top_candidate_file,is_watchlist_file,candidate_tier,full_buy_decision,decision_reason_cn,tier_order,_sort_rank,_sort_score
ANET,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,141.97000122070312,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,159.47000122070312,15385900.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
APH,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,125.0,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,148.75999450683594,13697400.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
ARM,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,209.16000366210932,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,353.2900085449219,10413200.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
ASML,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,1501.81005859375,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,1612.760009765625,1069400.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
AVGO,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,425.1900024414063,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,446.7699890136719,41718900.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
BE,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,275.95001220703125,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,285.0,16881100.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
BTDR,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,13.350000381469728,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,17.489999771118164,11410900.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
CAMT,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,168.35000610351562,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,171.66000366210938,302900.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
CARR,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,64.66999816894531,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,63.869998931884766,10392700.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
CEG,2026-05-30 22:36:07,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,267.20001220703125,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-29,287.75,2491200.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-29,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1,999999,-999999
