Date,Adj Close
2020-01-02,177.94876098632812
2020-01-03,177.0975341796875
2020-01-06,175.59144592285156
2020-01-07,175.366943359375
2020-01-08,175.4324188232422
2020-01-09,177.77102661132812
2020-01-10,176.732666015625
2020-01-13,179.0526123046875
2020-01-14,177.69619750976562
2020-01-15,179.08995056152344
2020-01-16,180.5398712158203
2020-01-17,182.95338439941406
2020-01-21,182.9159393310547
2020-01-22,183.72042846679688
2020-01-23,185.49769592285156
2020-01-24,185.2264862060547
2020-01-27,184.04783630371094
2020-01-28,185.38548278808594
2020-01-29,185.03939819335938
2020-01-30,186.60157775878906
2020-01-31,183.44912719726562
2020-02-03,188.51922607421875
2020-02-04,190.31524658203125
2020-02-05,192.98130798339844
2020-02-06,193.73898315429688
2020-02-07,192.3638916015625
2020-02-10,191.7090606689453
2020-02-11,191.40969848632812
2020-02-12,193.46768188476562
2020-02-13,193.6922149658203
2020-02-14,193.92608642578125
2020-02-18,194.2721710205078
2020-02-19,196.7323760986328
2020-02-20,192.99061584472656
2020-02-21,194.10382080078125
2020-02-24,189.44529724121094
2020-02-25,182.2050323486328
2020-02-26,181.8776092529297
2020-02-27,171.634521484375
2020-02-28,168.8000946044922
2020-03-02,178.87481689453125
2020-03-03,181.40049743652344
2020-03-04,191.1477813720703
2020-03-05,186.068359375
2020-03-06,181.85891723632812
2020-03-09,171.9712677001953
2020-03-10,178.52870178222656
2020-03-11,174.53440856933594
2020-03-12,154.40371704101562
2020-03-13,168.44468688964844
2020-03-16,155.80194091796875
2020-03-17,158.97198486328125
2020-03-18,146.80758666992188
2020-03-19,149.6681365966797
2020-03-20,133.06753540039062
2020-03-23,117.44230651855469
2020-03-24,143.4687042236328
2020-03-25,142.35263061523438
2020-03-26,151.64710998535156
2020-03-27,147.69857788085938
2020-03-30,151.37510681152344
2020-03-31,146.1510772705078
2020-04-01,137.588134765625
2020-04-02,142.708984375
2020-04-03,138.11337280273438
2020-04-06,147.6141357421875
2020-04-07,149.2273406982422
2020-04-08,160.2006378173828
2020-04-09,168.68850708007812
2020-04-13,163.8114776611328
2020-04-14,169.57015991210938
2020-04-15,163.8114776611328
2020-04-16,161.7762908935547
2020-04-17,167.64743041992188
2020-04-20,162.21710205078125
2020-04-21,159.59103393554688
2020-04-22,163.90528869628906
2020-04-23,164.16790771484375
2020-04-24,168.8948516845703
2020-04-27,175.8633575439453
2020-04-28,185.30787658691406
2020-04-29,185.30787658691406
2020-04-30,181.48130798339844
2020-05-01,178.19871520996094
2020-05-04,179.62429809570312
2020-05-05,181.31251525878906
2020-05-06,181.04052734375
2020-05-07,182.06280517578125
2020-05-08,185.4766845703125
2020-05-11,183.9010772705078
2020-05-12,182.13783264160156
2020-05-13,180.04635620117188
2020-05-14,180.4871826171875
2020-05-15,182.6536407470703
2020-05-18,192.1638641357422
2020-05-19,188.7405548095703
2020-05-20,189.87539672851562
2020-05-21,187.95277404785156
2020-05-22,188.04653930664062
2020-05-26,191.8824920654297
2020-05-27,194.47103881835938
2020-05-28,198.2788848876953
2020-05-29,199.376220703125
2020-06-01,196.06544494628906
2020-06-02,198.96353149414062
