snapshot_date,ticker,signal_snapshot_id,forward_tracker_link_key,simulation_link_key,manual_feedback_link_key,planned_horizon,planned_outcome_date,forward_return,forward_return_status,source_snapshot_path,source_signal_snapshot_row_found,source_signal_snapshot_quality_status,link_key_completeness_status,upgraded_schema_version,apply_scope,apply_status
2026-05-20,AAPL,V18_21B-2026-05-20-AAPL-5613A530AF73,forward_tracker|2026-05-20|AAPL,simulation|2026-05-20|AAPL,,1D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
2026-05-20,AAPL,V18_21B-2026-05-20-AAPL-5613A530AF73,forward_tracker|2026-05-20|AAPL,simulation|2026-05-20|AAPL,,3D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
2026-05-20,AAPL,V18_21B-2026-05-20-AAPL-5613A530AF73,forward_tracker|2026-05-20|AAPL,simulation|2026-05-20|AAPL,,5D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
2026-05-20,AAPL,V18_21B-2026-05-20-AAPL-5613A530AF73,forward_tracker|2026-05-20|AAPL,simulation|2026-05-20|AAPL,,10D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
2026-05-20,AAPL,V18_21B-2026-05-20-AAPL-5613A530AF73,forward_tracker|2026-05-20|AAPL,simulation|2026-05-20|AAPL,,20D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
2026-05-20,ACLS,V18_21B-2026-05-20-ACLS-45712EF7C798,forward_tracker|2026-05-20|ACLS,,,1D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
2026-05-20,ACLS,V18_21B-2026-05-20-ACLS-45712EF7C798,forward_tracker|2026-05-20|ACLS,,,3D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
2026-05-20,ACLS,V18_21B-2026-05-20-ACLS-45712EF7C798,forward_tracker|2026-05-20|ACLS,,,5D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
2026-05-20,ACLS,V18_21B-2026-05-20-ACLS-45712EF7C798,forward_tracker|2026-05-20|ACLS,,,10D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
2026-05-20,ACLS,V18_21B-2026-05-20-ACLS-45712EF7C798,forward_tracker|2026-05-20|ACLS,,,20D,PENDING_OUTCOME_DATE,NA,PENDING_NOT_FILLED,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,OK,PARTIAL_MEDIUM_CONFIDENCE_READY,V18_21D_R1_SHADOW_V1,NEW_SHADOW_OUTPUTS_ONLY,APPLIED_TO_SHADOW_OUTPUT_ONLY
