source_path,source_exists,modified_time,parsed_row_count,parsed_ticker_count,has_signal_snapshot_id,has_snapshot_date,has_forward_tracker_link_key,has_simulation_link_key,has_ticker,has_signal_date,has_horizon,has_outcome_date,has_forward_return,has_forward_return_1d,has_forward_return_3d,has_forward_return_5d,has_forward_return_10d,has_forward_return_20d,schema_quality_status,missing_required_fields,notes
D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,TRUE,2026-05-20T15:13:48,20,20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,PARTIAL_TICKER_DATE_MATCH_ONLY,signal_snapshot_id;snapshot_date;forward_tracker_link_key;simulation_link_key;outcome_date,Ticker/date matching is possible but direct keys are missing.
D:\us-tech-quant\outputs\v18\candidates\V18_14C_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,TRUE,2026-05-20T15:13:46,20,20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,PARTIAL_TICKER_DATE_MATCH_ONLY,signal_snapshot_id;snapshot_date;forward_tracker_link_key;simulation_link_key;outcome_date,Ticker/date matching is possible but direct keys are missing.
D:\us-tech-quant\outputs\v18\candidates\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv,TRUE,2026-05-20T15:13:48,20,20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,PARTIAL_TICKER_DATE_MATCH_ONLY,signal_snapshot_id;snapshot_date;forward_tracker_link_key;simulation_link_key;outcome_date,Ticker/date matching is possible but direct keys are missing.
D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_SIM_CANDIDATE_TRACKER.csv,TRUE,2026-05-18T21:39:51,93,31,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,PARTIAL_TICKER_DATE_MATCH_ONLY,signal_snapshot_id;forward_tracker_link_key;simulation_link_key,Ticker/date matching is possible but direct keys are missing.
D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_SIM_CANDIDATE_TRACKER_TODAY.csv,TRUE,2026-05-18T21:39:51,31,31,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,PARTIAL_TICKER_DATE_MATCH_ONLY,signal_snapshot_id;forward_tracker_link_key;simulation_link_key;outcome_date,Ticker/date matching is possible but direct keys are missing.
D:\us-tech-quant\outputs\v18\forward_outcome\V18_4A_CURRENT_FACTOR_SNAPSHOT.csv,TRUE,2026-05-19T10:53:52,105,105,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TICKER_ONLY_LOW_CONFIDENCE,signal_snapshot_id;snapshot_date;forward_tracker_link_key;simulation_link_key,Ticker-only matching cannot reliably link signal snapshots.
D:\us-tech-quant\outputs\v18\factor_research\V18_10B_R1_CURRENT_FORWARD_RETURN_MATURITY.csv,TRUE,2026-05-18T13:14:32,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SUMMARY_NOT_SIGNAL_LEVEL,signal_snapshot_id;snapshot_date;forward_tracker_link_key;simulation_link_key;ticker;outcome_date;forward_return,Rows are not signal-level ticker outcomes.
D:\us-tech-quant\outputs\v18\factor_research\V18_10B_CURRENT_FACTOR_EFFECTIVENESS.csv,TRUE,2026-05-18T13:14:33,28,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SUMMARY_NOT_SIGNAL_LEVEL,signal_snapshot_id;snapshot_date;forward_tracker_link_key;simulation_link_key;ticker;outcome_date;forward_return,Rows are not signal-level ticker outcomes.
D:\us-tech-quant\outputs\v18\technical_timing_forward\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_SUMMARY.csv,TRUE,2026-05-16T01:01:27,35,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SUMMARY_NOT_SIGNAL_LEVEL,signal_snapshot_id;snapshot_date;forward_tracker_link_key;simulation_link_key;ticker;horizon;outcome_date;forward_return,Rows are not signal-level ticker outcomes.
D:\us-tech-quant\outputs\v18\sell_timing\V18_CURRENT_EXIT_SIGNAL_FORWARD_TRACKER.csv,TRUE,2026-05-18T16:10:49,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TICKER_ONLY_LOW_CONFIDENCE,signal_snapshot_id;snapshot_date;forward_tracker_link_key;simulation_link_key;horizon;outcome_date;forward_return,Ticker-only matching cannot reliably link signal snapshots.
