snapshot_run_date,snapshot_price_date,ticker,latest_close,rank_overall,composite_score,group_factor_top10,group_factor_top30,group_official_review,group_factor_pack_overlap,group_v18_3c_overlap,selected_factor,official_final_action,buy_permission,official_decision_impact,promotion_action,return_1obs_pct,target_price_date_1obs,target_close_1obs,status_1obs,return_3obs_pct,target_price_date_3obs,target_close_3obs,status_3obs,return_5obs_pct,target_price_date_5obs,target_close_5obs,status_5obs,return_10obs_pct,target_price_date_10obs,target_close_10obs,status_10obs,return_20obs_pct,target_price_date_20obs,target_close_20obs,status_20obs
2026-05-27,2026-05-26,META,612.340027,23,21.904762,FALSE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,KLAC,2011.390015,24,22.857143,FALSE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,JBL,380.250000,25,23.809524,FALSE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,FLR,46.860001,26,24.761905,FALSE,TRUE,TRUE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,FLEX,143.240005,27,25.714286,FALSE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,AMAT,454.890015,28,26.666667,FALSE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,ZS,184.600006,29,27.619048,FALSE,TRUE,TRUE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,SNOW,177.600006,30,28.571429,FALSE,TRUE,TRUE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,ACLS,164.270004,31,29.52381,FALSE,FALSE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,MDB,307.350006,32,30.47619,FALSE,FALSE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
