metric_name,metric_group,required_inputs,applicable_horizon,minimum_sample_required,interpretation,current_computable_status,production_use_allowed,notes
average_forward_return,return_distribution,filled forward_return by horizon,1D/3D/5D/10D/20D,>=100 per horizon,Mean outcome return.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
median_forward_return,return_distribution,filled forward_return by horizon,1D/3D/5D/10D/20D,>=100 per horizon,Median outcome return.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
hit_rate,return_distribution,filled forward_return by horizon,1D/3D/5D/10D/20D,>=100 per horizon,Share of positive returns.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
top_bucket_vs_bottom_bucket_spread,factor_bucket,factor buckets and forward returns,all horizons,>=20 per bucket,Spread between strongest and weakest factor buckets.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
rank_ic,rank_correlation,scores and forward returns,all horizons,>=100 per horizon,Spearman rank correlation.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
rank_ic_ir,rank_correlation,time series rank_ic,all horizons,>=12 periods,Information ratio of rank IC.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
drawdown_after_signal,risk,post-signal price path,all horizons,>=100 per horizon,Worst drawdown after signal.,NOT_COMPUTABLE_PRICE_PATH_PENDING,FALSE,Research-only metric; no production use allowed.
volatility_after_signal,risk,post-signal price path,all horizons,>=100 per horizon,Realized volatility after signal.,NOT_COMPUTABLE_PRICE_PATH_PENDING,FALSE,Research-only metric; no production use allowed.
event_adjusted_score_spread,event_risk,event-adjusted scores and returns,all horizons,>=100 per horizon,Spread after advisory event adjustment.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
technical_timing_bucket_return,technical_timing,technical_timing_score buckets and returns,all horizons,>=20 per bucket,Timing bucket return.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
overheat_penalty_effect,technical_timing,overheat_penalty and returns,all horizons,>=100 per horizon,Effect of overheat penalty.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
buy_zone_distance_effect,price_derived,buy zone fields and returns,all horizons,>=100 per horizon,Effect of distance to buy zone.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
relative_strength_effect,price_derived,relative_strength_score and returns,all horizons,>=100 per horizon,Effect of relative strength.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
volume_confirmation_effect,price_derived,volume_confirmation_score and returns,all horizons,>=100 per horizon,Effect of volume confirmation.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
market_regime_conditioned_return,market_regime,market regime and returns,all horizons,>=100 per regime,Returns conditioned by regime.,NOT_COMPUTABLE_RETURNS_PENDING,FALSE,Research-only metric; no production use allowed.
