input_name,input_path,input_exists,parsed_row_count,parsed_ticker_count,key_columns_detected,date_columns_detected,score_columns_detected,horizon_columns_detected,usable_for_backtest_design,usable_for_backtest_execution_now,readiness_status,blocking_reason,notes
V18_21A_R4_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_21A_R4_STABLE_READ_FIRST.txt,TRUE,32,0,SNAPSHOT_ONLY;MISSING_HISTORY_TICKER_COUNT;STABLE_SNAPSHOT_MODIFIED;SNAPSHOT_PATH,,CURRENT_SCORE_READY_RATIO;TOP_25_PROJECTED_SCORE_READY_RATIO;TOP_50_PROJECTED_SCORE_READY_RATIO;TOP_100_PROJECTED_SCORE_READY_RATIO;ALL_MISSING_PROJECTED_SCORE_READY_RATIO;RANKING_MODIFIED,,TRUE,FALSE,NOT_APPLICABLE_CONTEXT_ONLY,,Read-only audit; no data fetched or modified.
V18_21B_R1_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_21B_R1_STABLE_READ_FIRST.txt,TRUE,49,0,SNAPSHOT_ONLY;SNAPSHOT_DATE;SIGNAL_SNAPSHOT_ROW_COUNT;SIGNAL_SNAPSHOT_HISTORY_COPY_CREATED;SIGNAL_SNAPSHOT_ID_UNIQUE;SIGNAL_SNAPSHOT_ID_DUPLICATE_COUNT;SIMULATION_LINK_KEY_NON_EMPTY_COUNT;FORWARD_TRACKER_LINK_KEY_NON_EMPTY_COUNT;MANUAL_FEEDBACK_LINK_KEY_NON_EMPTY_COUNT;STABLE_SNAPSHOT_MODIFIED;SNAPSHOT_PATH,SNAPSHOT_DATE,PRICE_DERIVED_FULL_SCORE_READY_COUNT;MARKET_RISK_COEFFICIENT;RANKING_MODIFIED,,TRUE,FALSE,NOT_APPLICABLE_CONTEXT_ONLY,,Read-only audit; no data fetched or modified.
V18_21C_R2_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_21C_R2_STABLE_READ_FIRST.txt,TRUE,53,0,SNAPSHOT_ONLY;SIGNAL_SNAPSHOT_ROW_COUNT;SIGNAL_SNAPSHOT_HISTORY_COUNT;TICKER_DATE_ONLY_SOURCE_COUNT;TICKER_ONLY_LOW_CONFIDENCE_SOURCE_COUNT;SIGNAL_SNAPSHOT_MODIFIED;STABLE_SNAPSHOT_MODIFIED;SNAPSHOT_PATH,TICKER_DATE_ONLY_SOURCE_COUNT,RANKING_MODIFIED,HORIZON_1D_USABLE_COUNT;HORIZON_3D_USABLE_COUNT;HORIZON_5D_USABLE_COUNT;HORIZON_10D_USABLE_COUNT;HORIZON_20D_USABLE_COUNT;MULTI_HORIZON_READINESS_STATUS,TRUE,FALSE,NOT_APPLICABLE_CONTEXT_ONLY,,Read-only audit; no data fetched or modified.
V18_21D_R1_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_21D_R1_STABLE_READ_FIRST.txt,TRUE,46,0,SNAPSHOT_ONLY;SIGNAL_SNAPSHOT_MODIFIED;UNIQUE_SIGNAL_SNAPSHOT_ID_COUNT;STABLE_SNAPSHOT_MODIFIED;SNAPSHOT_PATH,,RANKING_MODIFIED,PLANNED_HORIZON_COUNT;FORWARD_RETURN_FILLED_COUNT;FORWARD_RETURN_PENDING_COUNT,TRUE,FALSE,NOT_APPLICABLE_CONTEXT_ONLY,,Read-only audit; no data fetched or modified.
V18_21E_R1_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_21E_R1_STABLE_READ_FIRST.txt,TRUE,50,0,SNAPSHOT_ONLY;TICKER_EVENT_RISK_ROW_COUNT;CALENDAR_HIGH_RISK_TICKER_COUNT;CALENDAR_EXTREME_CAUTION_TICKER_COUNT;ADVISORY_OVERLAY_AFFECTED_TICKER_COUNT;TOP_EVENT_RISK_TICKERS;SIGNAL_SNAPSHOT_MODIFIED;STABLE_SNAPSHOT_MODIFIED;SNAPSHOT_PATH,EVENT_ADJUSTED_CANDIDATE_COUNT;TOP_EVENT_ADJUSTED_CANDIDATES,EVENT_RISK_COEFFICIENT_APPLIED_TO_OFFICIAL_DECISION;CALENDAR_MARKET_EVENT_RISK_COEFFICIENT;HARD_LOCK_OVERLAY_ADVISORY_COEFFICIENT;FINAL_ADVISORY_MARKET_EVENT_RISK_COEFFICIENT;EVENT_ADJUSTED_SCORE_AVAILABLE_COUNT;RANKING_MODIFIED,,TRUE,FALSE,NOT_APPLICABLE_CONTEXT_ONLY,,Read-only audit; no data fetched or modified.
V18_21F_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_21F_STABLE_READ_FIRST.txt,TRUE,52,0,SNAPSHOT_ONLY;PRICE_DERIVED_MISSING_HISTORY_TICKER_COUNT;SIGNAL_SNAPSHOT_ROW_COUNT;SIGNAL_SNAPSHOT_MODIFIED;STABLE_SNAPSHOT_MODIFIED;SNAPSHOT_PATH,,PRICE_DERIVED_SCORE_READY_RATIO;EVENT_FINAL_ADVISORY_MARKET_COEFFICIENT;EVENT_RISK_COEFFICIENT_APPLIED_TO_OFFICIAL_DECISION;RANKING_MODIFIED,MULTI_HORIZON_READINESS_STATUS;FORWARD_RETURN_FILLED_COUNT;FORWARD_RETURN_PENDING_COUNT,TRUE,FALSE,NOT_APPLICABLE_CONTEXT_ONLY,,Read-only audit; no data fetched or modified.
V18_21G_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_21G_STABLE_READ_FIRST.txt,TRUE,51,0,SNAPSHOT_ONLY;INVALID_MISSING_LINK_KEYS_COUNT;SIGNAL_SNAPSHOT_MODIFIED;STABLE_SNAPSHOT_MODIFIED;SNAPSHOT_PATH,,RANKING_MODIFIED,FORWARD_RETURN_FILLED_COUNT;FORWARD_RETURN_PENDING_COUNT,TRUE,FALSE,NOT_APPLICABLE_CONTEXT_ONLY,,Read-only audit; no data fetched or modified.
V18_21H_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_21H_STABLE_READ_FIRST.txt,TRUE,45,0,SNAPSHOT_ONLY;CURRENT_MISSING_HISTORY_TICKER_COUNT;BATCH_1_TICKER_COUNT;SIGNAL_SNAPSHOT_MODIFIED;STABLE_SNAPSHOT_MODIFIED;SNAPSHOT_PATH,,CURRENT_SCORE_READY_RATIO;TOP_50_PROJECTED_SCORE_READY_RATIO;TOP_100_PROJECTED_SCORE_READY_RATIO;ALL_MISSING_PROJECTED_SCORE_READY_RATIO;RANKING_MODIFIED,,TRUE,FALSE,NOT_APPLICABLE_CONTEXT_ONLY,,Read-only audit; no data fetched or modified.
V18_21H_R1_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_21H_R1_STABLE_READ_FIRST.txt,TRUE,48,0,SNAPSHOT_ONLY;CURRENT_MISSING_HISTORY_TICKER_COUNT;BATCH1_REQUESTED_TICKER_COUNT;BATCH1_VALID_TICKER_COUNT;BATCH1_PROJECTED_MISSING_HISTORY_TICKER_COUNT_IF_APPLIED_LATER;SIGNAL_SNAPSHOT_MODIFIED;STABLE_SNAPSHOT_MODIFIED;SNAPSHOT_PATH,,CURRENT_SCORE_READY_RATIO;BATCH1_PROJECTED_SCORE_READY_RATIO_IF_APPLIED_LATER;RANKING_MODIFIED,,TRUE,FALSE,NOT_APPLICABLE_CONTEXT_ONLY,,Read-only audit; no data fetched or modified.
SIGNAL_SNAPSHOT,D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,325,325,snapshot_date;ticker;signal_snapshot_id;simulation_link_key;forward_tracker_link_key;manual_feedback_link_key;signal_snapshot_quality_status;link_key_quality_status,snapshot_date;composite_candidate_score,factor_pack_rank;factor_pack_score;composite_candidate_score;technical_timing_score;price_derived_total_score;score_scope;full_factor_score_ready;light_factor_score_ready;score_ready;relative_strength_score;trend_structure_score;buy_zone_score;volume_confirmation_score;volatility_risk_score;market_risk_coefficient,,TRUE,FALSE,READY_FOR_LIMITED_RESEARCH,"Usable for schema design, but backtest execution is blocked by missing outcomes.",Read-only audit; no data fetched or modified.
