shadow_date,version,shadow_rank,ticker,shadow_score,shadow_factor_count,shadow_factor_ids,official_decision_impact,shadow_only,F002,official_source,official_actionable_buy,official_worth_review_locked,official_match_flag,shadow_top30_flag,compare_bucket,official_status_bucket
2026-05-15,V18.3A,1,AEHR,4.986055557183363,1,F002,NONE,YES,4.986055557183363,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,2,SOXL,3.087403782720676,1,F002,NONE,YES,3.087403782720676,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,3,INTC,2.514504028168824,1,F002,NONE,YES,2.514504028168824,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,4,MRVL,1.9816556535558347,1,F002,NONE,YES,1.9816556535558347,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,5,SNDK,1.9668831454790927,1,F002,NONE,YES,1.9668831454790927,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,6,AMD,1.8431457807294107,1,F002,NONE,YES,1.8431457807294107,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,7,FLEX,1.698142245956223,1,F002,NONE,YES,1.698142245956223,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,8,DELL,1.5819728706280425,1,F002,NONE,YES,1.5819728706280425,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,True,True,True,SHADOW_TOP30_AND_OFFICIAL_REVIEW,OFFICIAL_WORTH_REVIEW_LOCKED
2026-05-15,V18.3A,9,VECO,1.36127963318391,1,F002,NONE,YES,1.36127963318391,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,10,ACLS,1.2312332794046046,1,F002,NONE,YES,1.2312332794046046,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,11,BE,1.138730244403968,1,F002,NONE,YES,1.138730244403968,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
2026-05-15,V18.3A,12,CIEN,1.079281442367268,1,F002,NONE,YES,1.079281442367268,STRICT_CONFIRMED_V17_LOCKED_10_FALLBACK,False,False,False,True,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG
