STATUS: OK
MODE: READ_ONLY_RESEARCH_MOTIF_LAB
GENERATED_AT: 2026-05-25T18:28:59
TOTAL_MOTIF_COUNT: 10
READY_MOTIF_COUNT: 6
PROXY_ONLY_MOTIF_COUNT: 1
SHADOW_ONLY_MOTIF_COUNT: 0
MISSING_FACTOR_MOTIF_COUNT: 3
CURRENT_FULL_CANDIDATE_COUNT: 318
JOINED_RESEARCH_UNIVERSE_COUNT: 318
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE
FACTOR_WEIGHTS_MODIFIED: FALSE
FORBIDDEN_MODIFIED: FALSE
CANDIDATE_ALIAS_MUTATION: FALSE
FREEZE_LEDGER_MUTATION: FALSE
PAPER_TRADING_LEDGER_MUTATION: FALSE
BROKER_API_ORDER_CODE: DISABLED
WARNING_COUNT: 0
