motif_id,motif_name_cn,ticker,shadow_rank,rank_source,official_rank,composite_candidate_score,factor_pack_score,technical_timing_score,technical_status,bb_status,rsi_14,kdj_status,volume_ratio_5_20,overheat_penalty,volatility_penalty,supporting_factors,missing_factors,evidence_status,research_readiness,official_decision_impact,auto_trade,auto_sell,notes
VALUE_MOMENTUM,价值动量,FORM,1,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,1,59.2,100.0,64.0,TECH_TIMING_PULLBACK_WATCH,BB_BELOW_LOWER,39.3157,KDJ_NEUTRAL,1.1528,0,71.428571,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
VALUE_MOMENTUM,价值动量,AEIS,2,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,2,58.86,96.15,68.0,TECH_TIMING_WATCH_POSITIVE,BB_LOWER_HALF,37.4861,KDJ_NEUTRAL,1.3874,0,75.0,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
VALUE_MOMENTUM,价值动量,AGX,3,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,3,57.4,100.0,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,45.5013,KDJ_NEUTRAL,1.0493,0,65.384615,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
VALUE_MOMENTUM,价值动量,BLTE,4,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,4,57.324,92.31,68.0,TECH_TIMING_WATCH_POSITIVE,BB_LOWER_HALF,35.6586,KDJ_NEUTRAL,1.6627,0,17.307692,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
VALUE_MOMENTUM,价值动量,LITE,5,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,5,57.02,99.05,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,48.2956,KDJ_NEUTRAL,1.053,0,83.809524,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
VALUE_MOMENTUM,价值动量,ALM,6,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,6,56.892,94.23,64.0,TECH_TIMING_PULLBACK_WATCH,BB_LOWER_HALF,42.8612,KDJ_NEUTRAL,0.993,0,96.153846,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
VALUE_MOMENTUM,价值动量,POWL,7,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,7,56.64,98.1,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,49.3974,KDJ_NEUTRAL,1.0752,0,69.52381,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
VALUE_MOMENTUM,价值动量,MTZ,8,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,8,56.632,98.08,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,46.9513,KDJ_NEUTRAL,1.0372,0,61.538462,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
VALUE_MOMENTUM,价值动量,MOD,9,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,9,54.352,92.38,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,46.0582,KDJ_NEUTRAL,1.199,0,60.952381,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
VALUE_MOMENTUM,价值动量,OC,10,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,10,53.908,80.77,72.0,TECH_TIMING_WATCH_POSITIVE,BB_LOWER_HALF,43.8357,KDJ_LOW_GOLDEN_CROSS,1.0491,0,50.0,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
QUALITY_MOMENTUM,质量动量,FORM,1,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,1,59.2,100.0,64.0,TECH_TIMING_PULLBACK_WATCH,BB_BELOW_LOWER,39.3157,KDJ_NEUTRAL,1.1528,0,71.428571,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,Q001:QMJ:REPORT_ONLY,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
QUALITY_MOMENTUM,质量动量,AEIS,2,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,2,58.86,96.15,68.0,TECH_TIMING_WATCH_POSITIVE,BB_LOWER_HALF,37.4861,KDJ_NEUTRAL,1.3874,0,75.0,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,Q001:QMJ:REPORT_ONLY,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
QUALITY_MOMENTUM,质量动量,AGX,3,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,3,57.4,100.0,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,45.5013,KDJ_NEUTRAL,1.0493,0,65.384615,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,Q001:QMJ:REPORT_ONLY,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED,RESEARCH_ONLY_SHADOW_GROUP_NO_ORDER_NO_RANKING_CHANGE
