weight_set,horizon,label_column,n_pairs,status,promotion_action,top_fraction,top_count,bottom_count,all_mean_return,all_median_return,all_win_rate,top_mean_return,top_median_return,top_win_rate,bottom_mean_return,bottom_median_return,bottom_win_rate,top_minus_bottom_mean
BASELINE_CURRENT,1D,fwd_1d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
BASELINE_CURRENT,5D,fwd_5d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
BASELINE_CURRENT,10D,fwd_10d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
BASELINE_CURRENT,20D,fwd_20d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
EQUAL_WEIGHT,1D,fwd_1d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
EQUAL_WEIGHT,5D,fwd_5d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
EQUAL_WEIGHT,10D,fwd_10d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
EQUAL_WEIGHT,20D,fwd_20d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
DEFENSIVE_CAUTION,1D,fwd_1d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
DEFENSIVE_CAUTION,5D,fwd_5d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
DEFENSIVE_CAUTION,10D,fwd_10d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
DEFENSIVE_CAUTION,20D,fwd_20d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
MOMENTUM_NORMAL,1D,fwd_1d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
MOMENTUM_NORMAL,5D,fwd_5d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
MOMENTUM_NORMAL,10D,fwd_10d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
MOMENTUM_NORMAL,20D,fwd_20d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
PULLBACK_QUALITY,1D,fwd_1d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
PULLBACK_QUALITY,5D,fwd_5d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
PULLBACK_QUALITY,10D,fwd_10d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
PULLBACK_QUALITY,20D,fwd_20d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
LOW_VOL_DEFENSE,1D,fwd_1d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
LOW_VOL_DEFENSE,5D,fwd_5d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
LOW_VOL_DEFENSE,10D,fwd_10d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
LOW_VOL_DEFENSE,20D,fwd_20d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
EXECUTION_AWARE_SMALL_ACCOUNT,1D,fwd_1d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
EXECUTION_AWARE_SMALL_ACCOUNT,5D,fwd_5d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
EXECUTION_AWARE_SMALL_ACCOUNT,10D,fwd_10d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
EXECUTION_AWARE_SMALL_ACCOUNT,20D,fwd_20d_return,0,NO_MATURE_FORWARD_RETURNS,HOLD_NO_WEIGHT_ACTION,,,,,,,,,,,,,
