ticker,current_score,current_score_source,current_rank,factor_pack_score,technical_timing_score,overheat_penalty,event_risk_status,local_price_available,full_history_ready,latest_success_scan_date,data_readiness_status,held_out_status,current_tier,current_tier_reason,review_required
AA,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AAL,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ABR,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ADBE,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ADMA,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ADSK,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AEIS,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AEVA,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AFRM,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AGX,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ALM,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
