ticker,current_tier,current_score,current_rank,factor_pack_score,technical_timing_score,latest_success_scan_date,current_tier_reason,detail_path
FORM,TIER_1_CORE_CANDIDATE,100.000000,1,100.0,64.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
LITE,TIER_1_CORE_CANDIDATE,99.050000,2,99.05,58.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
POWL,TIER_1_CORE_CANDIDATE,98.100000,3,98.1,58.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
MU,TIER_1_CORE_CANDIDATE,97.140000,4,97.14,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
SOXL,TIER_1_CORE_CANDIDATE,96.190000,5,96.19,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
GLW,TIER_1_CORE_CANDIDATE,95.240000,6,95.24,40.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
AEHR,TIER_1_CORE_CANDIDATE,94.290000,7,94.29,48.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
ICHR,TIER_1_CORE_CANDIDATE,93.330000,8,93.33,48.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
MOD,TIER_1_CORE_CANDIDATE,92.380000,9,92.38,58.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
SNDK,TIER_1_CORE_CANDIDATE,91.430000,10,91.43,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
INTC,TIER_1_CORE_CANDIDATE,90.480000,11,90.48,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
WDC,TIER_1_CORE_CANDIDATE,89.520000,12,89.52,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
AMKR,TIER_1_CORE_CANDIDATE,88.570000,13,88.57,58.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
STX,TIER_1_CORE_CANDIDATE,87.620000,14,87.62,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
FIX,TIER_1_CORE_CANDIDATE,86.670000,15,86.67,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
COHU,TIER_1_CORE_CANDIDATE,85.710000,16,85.71,58.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
KEYS,TIER_2_STRONG_WATCHLIST,84.760000,17,84.76,62.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
CIEN,TIER_2_STRONG_WATCHLIST,83.810000,18,83.81,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
CAMT,TIER_2_STRONG_WATCHLIST,82.860000,19,82.86,68.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
FLEX,TIER_2_STRONG_WATCHLIST,81.900000,20,81.9,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
MKSI,TIER_2_STRONG_WATCHLIST,80.950000,21,80.95,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
CRDO,TIER_2_STRONG_WATCHLIST,80.000000,22,80.0,64.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
BE,TIER_2_STRONG_WATCHLIST,79.050000,23,79.05,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
MPWR,TIER_2_STRONG_WATCHLIST,78.100000,24,78.1,58.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
VRT,TIER_2_STRONG_WATCHLIST,77.140000,25,77.14,40.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
SOXX,TIER_2_STRONG_WATCHLIST,76.190000,26,76.19,50.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
CRWV,TIER_2_STRONG_WATCHLIST,75.240000,27,75.24,64.0,2026-05-21,SCORE_THRESHOLD_POLICY,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_SCORE_TIER_SNAPSHOT.csv
