"ticker","comparison_layer","old_in_stable","current_in_latest","delta_status","current_semantic_layer","current_price_status","current_latest_price_date","current_latest_close","current_manual_review_decision","current_special_tag","current_inferred_exclusion_reason"
"AAPL","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","300.2300109863281","","",""
"ACLS","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","155.17999267578125","","",""
"ACM","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","71.30999755859375","WATCH","",""
"ACMR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","63.66999816894531","","",""
"AEHR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","99.5","","",""
"ALAB","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","232.67999267578125","","",""
"AMAT","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","436.6199951171875","","",""
"AMD","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","424.1000061035156","","",""
"AMKR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","70.3499984741211","","",""
"AMZN","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","264.1400146484375","","",""
"ANET","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","141.97000122070312","WATCH","",""
"APH","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","125.0","","",""
"ARM","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","209.16000366210935","WATCH","",""
"ASML","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","1501.81005859375","","",""
"AVGO","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","425.1900024414063","","",""
"BE","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","275.95001220703125","BLOCK","",""
"BTDR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","13.350000381469728","","",""
"CAMT","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","168.35000610351562","","",""
"CARR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","64.66999816894531","","",""
"CEG","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","267.20001220703125","","",""
"CIEN","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","554.4600219726562","","",""
"CIFR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","20.32999992370605","","",""
