run_time,ticker,in_raw_universe,in_screened_universe,in_selected_for_execution,in_second_stage,in_latest_price_snapshot,in_manual_review_file,manual_review_decision,full_pipeline_status,special_tag,inferred_exclusion_reason,price_status,price_source,latest_price_date,latest_close,latest_volume,raw_bucket,raw_compat_status
2026-05-27 22:48:34,CARR,True,True,True,True,True,False,,SECOND_STAGE_CANDIDATE,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CARR.csv,2026-05-15,64.66999816894531,4099300.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,CEG,True,True,True,True,True,False,,SECOND_STAGE_CANDIDATE,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CEG.csv,2026-05-15,267.20001220703125,3829800.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,CIEN,True,True,True,False,True,False,,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CIEN.csv,2026-05-15,554.4600219726562,2421100.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,CIFR,True,True,True,False,True,False,,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CIFR.csv,2026-05-15,20.32999992370605,20511600.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,CLS,True,True,True,False,True,False,,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CLS.csv,2026-05-15,358.54998779296875,1898600.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,COHR,True,True,True,False,True,False,,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\COHR.csv,2026-05-15,382.4500122070313,6618100.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,COHU,True,True,True,False,True,False,,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\COHU.csv,2026-05-15,47.13999938964844,903300.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,CORZ,True,True,True,False,True,False,,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CORZ.csv,2026-05-15,24.209999084472656,10130700.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,CRDO,True,True,True,False,True,False,,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CRDO.csv,2026-05-15,172.1699981689453,5515900.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,CRM,True,True,True,False,True,False,,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CRM.csv,2026-05-15,173.50999450683594,13776600.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,CRWD,True,True,True,False,True,False,,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CRWD.csv,2026-05-15,594.0800170898438,3855000.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
2026-05-27 22:48:34,CRWV,True,True,True,False,True,True,BLOCK,SELECTED_FOR_EXECUTION_REVIEW,,,OK_EXISTING_LOCAL_PRICE,D:\us-tech-quant\data\v16\prices_full\CRWV.csv,2026-05-15,107.3000030517578,21977700.0,V18_RAW105_COMPAT,OK_NON_RECURSIVE_EXACT_V17_6E_YAML
