ticker,refresh_status,latest_price_date,latest_close,latest_volume,source,error,run_time,raw_index,freshness_status
AAPL,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,311.1300048828125,4420300.0,yfinance,,2026-05-27 22:48:10,1,OK_LATEST_AVAILABLE
ACLS,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,160.94000244140625,45928.0,yfinance,,2026-05-27 22:48:10,2,OK_LATEST_AVAILABLE
ACM,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,73.11000061035156,26672.0,yfinance,,2026-05-27 22:48:10,3,OK_LATEST_AVAILABLE
ACMR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,84.6500015258789,450657.0,yfinance,,2026-05-27 22:48:10,4,OK_LATEST_AVAILABLE
AEHR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,106.9999008178711,524730.0,yfinance,,2026-05-27 22:48:10,5,OK_LATEST_AVAILABLE
ALAB,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,308.9750061035156,861639.0,yfinance,,2026-05-27 22:48:10,6,OK_LATEST_AVAILABLE
AMAT,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,445.8299865722656,1006890.0,yfinance,,2026-05-27 22:48:10,7,OK_LATEST_AVAILABLE
AMD,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,494.32501220703125,6309277.0,yfinance,,2026-05-27 22:48:10,8,OK_LATEST_AVAILABLE
AMKR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,71.79000091552734,938830.0,yfinance,,2026-05-27 22:48:10,9,OK_LATEST_AVAILABLE
AMZN,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,267.8900146484375,4723891.0,yfinance,,2026-05-27 22:48:10,10,OK_LATEST_AVAILABLE
ANET,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,154.9405059814453,828392.0,yfinance,,2026-05-27 22:48:10,11,OK_LATEST_AVAILABLE
APH,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,139.1800994873047,1221544.0,yfinance,,2026-05-27 22:48:10,12,OK_LATEST_AVAILABLE
ARM,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,311.82000732421875,1358130.0,yfinance,,2026-05-27 22:48:10,13,OK_LATEST_AVAILABLE
ASML,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,1603.0799560546875,300934.0,yfinance,,2026-05-27 22:48:10,14,OK_LATEST_AVAILABLE
AVGO,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,424.1499938964844,2365125.0,yfinance,,2026-05-27 22:48:10,15,OK_LATEST_AVAILABLE
BE,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,287.2049865722656,1307724.0,yfinance,,2026-05-27 22:48:10,16,OK_LATEST_AVAILABLE
BTDR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,14.420100212097168,2125616.0,yfinance,,2026-05-27 22:48:10,17,OK_LATEST_AVAILABLE
CAMT,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,169.47500610351562,60798.0,yfinance,,2026-05-27 22:48:10,18,OK_LATEST_AVAILABLE
CARR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,65.61000061035156,508047.0,yfinance,,2026-05-27 22:48:10,19,OK_LATEST_AVAILABLE
CEG,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,292.2304992675781,414136.0,yfinance,,2026-05-27 22:48:10,20,OK_LATEST_AVAILABLE
CIEN,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,580.7000122070312,161299.0,yfinance,,2026-05-27 22:48:10,21,OK_LATEST_AVAILABLE
CIFR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,22.790000915527344,2330037.0,yfinance,,2026-05-27 22:48:10,22,OK_LATEST_AVAILABLE
CLS,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,355.2099914550781,332986.0,yfinance,,2026-05-27 22:48:10,23,OK_LATEST_AVAILABLE
COHR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,361.8800048828125,772487.0,yfinance,,2026-05-27 22:48:10,24,OK_LATEST_AVAILABLE
COHU,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,51.4900016784668,330646.0,yfinance,,2026-05-27 22:48:10,25,OK_LATEST_AVAILABLE
CORZ,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,26.200000762939453,1173181.0,yfinance,,2026-05-27 22:48:10,26,OK_LATEST_AVAILABLE
CRDO,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,212.85000610351562,924796.0,yfinance,,2026-05-27 22:48:10,27,OK_LATEST_AVAILABLE
CRM,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,183.58999633789062,1481380.0,yfinance,,2026-05-27 22:48:10,28,OK_LATEST_AVAILABLE
CRWD,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,648.75,793249.0,yfinance,,2026-05-27 22:48:10,29,OK_LATEST_AVAILABLE
CRWV,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,100.7699966430664,3482483.0,yfinance,,2026-05-27 22:48:10,30,OK_LATEST_AVAILABLE
CSCO,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,118.58499908447266,2644597.0,yfinance,,2026-05-27 22:48:10,31,OK_LATEST_AVAILABLE
D,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,67.5250015258789,559898.0,yfinance,,2026-05-27 22:48:10,32,OK_LATEST_AVAILABLE
DDOG,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,223.66000366210938,320784.0,yfinance,,2026-05-27 22:48:10,33,OK_LATEST_AVAILABLE
DELL,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,301.56500244140625,1310623.0,yfinance,,2026-05-27 22:48:10,34,OK_LATEST_AVAILABLE
ECL,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,260.6449890136719,149153.0,yfinance,,2026-05-27 22:48:10,35,OK_LATEST_AVAILABLE
