"ticker","refresh_status","latest_price_date","latest_close","latest_volume","freshness_status","max_latest_price_date","semantic_layer","in_main_compute_universe","in_second_stage_candidate","acceptance_status"
"AAPL","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","312.05999755859375","69982800.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"ACLS","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","150.41000366210938","518000.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"ACM","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","69.37000274658203","16323100.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"ACMR","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","86.55999755859375","2250900.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"AEHR","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","92.33000183105469","1877300.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"ALAB","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","342.8500061035156","5979200.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"AMAT","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","450.05999755859375","8546800.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"AMD","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","516.0999755859375","30739100.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"AMKR","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","69.55999755859375","5169400.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"AMZN","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","270.6400146484375","54699300.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"ANET","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","159.47000122070312","15385900.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"APH","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","148.75999450683594","13697400.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"ARM","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","353.2900085449219","10413200.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"ASML","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","1612.760009765625","1069400.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"AVGO","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","446.7699890136719","41718900.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"BE","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","285.0","16881100.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"BTDR","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","17.489999771118164","11410900.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"CAMT","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","171.66000366210938","302900.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"CARR","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","63.869998931884766","10392700.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"CEG","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","287.75","2491200.0","OK_LATEST_AVAILABLE","2026-05-29","SECOND_STAGE_CANDIDATE","True","True","ACCEPT_LATEST_DATE"
"CIEN","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","580.22998046875","3862900.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
"CIFR","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","23.649999618530273","17080500.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
"CLS","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","385.3900146484375","3148300.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
"COHR","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","361.4700012207031","11073100.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
"COHU","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","52.75","2088300.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
"CORZ","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","26.850000381469727","15295100.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
"CRDO","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","236.02999877929688","7569000.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
"CRM","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","191.10000610351562","33957300.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
"CRWD","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","731.0","4814200.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
"CRWV","OK_YFINANCE_LATEST_AVAILABLE","2026-05-29","109.52999877929688","28054800.0","OK_LATEST_AVAILABLE","2026-05-29","MAIN_COMPUTE_UNIVERSE","True","False","ACCEPT_LATEST_DATE"
