"ticker","semantic_layer","trade_meaning_cn","in_raw_universe","in_classified_universe","in_main_compute_universe","in_second_stage_candidate","raw_price_ok","price_status","latest_price_date","latest_close","manual_review_decision","previous_full_pipeline_status","special_tag","inferred_exclusion_reason"
"DDOG","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","207.97999572753903","","SELECTED_FOR_EXECUTION_REVIEW","",""
"DELL","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","241.9900054931641","","SELECTED_FOR_EXECUTION_REVIEW","",""
"ECL","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","247.6199951171875","","SELECTED_FOR_EXECUTION_REVIEW","",""
"ENTG","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","133.07000732421875","","SELECTED_FOR_EXECUTION_REVIEW","",""
"ETN","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","399.4400024414063","","SELECTED_FOR_EXECUTION_REVIEW","",""
"ETR","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","109.02999877929688","","SELECTED_FOR_EXECUTION_REVIEW","",""
"FIX","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","1992.739990234375","","SELECTED_FOR_EXECUTION_REVIEW","",""
"FLEX","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","137.86000061035156","","SELECTED_FOR_EXECUTION_REVIEW","",""
"FLR","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","44.36000061035156","WATCH","SELECTED_FOR_EXECUTION_REVIEW","",""
"FN","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","722.0399780273438","","SELECTED_FOR_EXECUTION_REVIEW","",""
"FORM","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","126.2699966430664","","SELECTED_FOR_EXECUTION_REVIEW","",""
"GEV","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","1049.22998046875","","SELECTED_FOR_EXECUTION_REVIEW","",""
