source_name,source_path,source_exists,modified_time,parsed_status,metrics_extracted,source_role,notes
V18_22B_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_22B_STABLE_READ_FIRST.txt,TRUE,2026-05-20T23:39:25,TEXT_READ,STATUS;MODE;SNAPSHOT_ONLY;POLICY_APPLIED;RESEARCH_COMMAND_CENTER_WRAPPER_READY;V18_22A_SOURCE_STATUS;V18_22A_REFRESH_RAN;PRODUCTION_DAILY_COMMAND_CENTER_MODIFIED,PRIMARY,Read-only source audit.
V18_22B_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_22B_READ_FIRST.txt,TRUE,2026-05-20T23:34:24,TEXT_READ,STATUS;MODE;PATCH_MODE;POLICY_APPLIED;RESEARCH_COMMAND_CENTER_WRAPPER_READY;V18_22A_SOURCE_STATUS;V18_22A_REFRESH_RAN;PRODUCTION_DAILY_COMMAND_CENTER_MODIFIED,PRIMARY,Read-only source audit.
V18_22B_WRAPPER_REPORT,D:\us-tech-quant\outputs\v18\ops\V18_22B_CURRENT_DAILY_RESEARCH_COMMAND_CENTER_WRAPPER_REPORT.md,TRUE,2026-05-20T23:34:24,TEXT_READ,Status;Stable layers;Recommended next action;Wrapper safety audit created;Validation fail count,PRIMARY,Read-only source audit.
V18_22B_DAILY_RESEARCH_PACKET,D:\us-tech-quant\outputs\v18\research_command_center\V18_22B_CURRENT_DAILY_RESEARCH_PACKET.md,TRUE,2026-05-20T23:34:24,TEXT_READ,Status;Stable layers OK;Factor effect claims;Score-ready ratio;Shadow rows;Backtest execution readiness;Final advisory market coefficient;Recommended next action,PRIMARY,Read-only source audit.
V18_22B_GATE_SUMMARY,D:\us-tech-quant\outputs\v18\research_command_center\V18_22B_CURRENT_DAILY_RESEARCH_GATE_SUMMARY.csv,TRUE,2026-05-20T23:34:24,CSV_ROWS=8,gate_name;allowed_status;current_blocker;operator_meaning;next_required_action;production_impact,PRIMARY,Read-only source audit.
V18_22B_ACTION_SUMMARY,D:\us-tech-quant\outputs\v18\research_command_center\V18_22B_CURRENT_DAILY_RESEARCH_ACTION_SUMMARY.csv,TRUE,2026-05-20T23:34:24,CSV_ROWS=6,action_id;action_name;recommended_now;priority;reason;risk_level;requires_explicit_approval;modifies_production,PRIMARY,Read-only source audit.
V18_22B_WRAPPER_SAFETY_AUDIT,D:\us-tech-quant\outputs\v18\research_command_center\V18_22B_CURRENT_WRAPPER_SAFETY_AUDIT.csv,TRUE,2026-05-20T23:34:24,CSV_ROWS=15,checked_path;file_exists;modified_before_run;modified_after_run;modified_by_this_run;protection_status;notes,PRIMARY,Read-only source audit.
V18_22B_WRAPPER_VALIDATION,D:\us-tech-quant\outputs\v18\research_command_center\V18_22B_CURRENT_WRAPPER_VALIDATION.csv,TRUE,2026-05-20T23:34:24,CSV_ROWS=24,validation_check;status;fail_count;notes,PRIMARY,Read-only source audit.
V18_22A_STABLE_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_22A_STABLE_READ_FIRST.txt,TRUE,2026-05-20T23:20:54,TEXT_READ,STATUS;MODE;SNAPSHOT_ONLY;POLICY_APPLIED;RESEARCH_COMMAND_CENTER_READY;STABLE_LAYER_COUNT;STABLE_LAYER_OK_COUNT;MISSING_STABLE_LAYER_COUNT,SUPPORTING,Read-only source audit.
V18_22A_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_22A_READ_FIRST.txt,TRUE,2026-05-20T23:04:47,TEXT_READ,STATUS;MODE;PATCH_MODE;POLICY_APPLIED;RESEARCH_COMMAND_CENTER_READY;STABLE_LAYER_COUNT;STABLE_LAYER_OK_COUNT;MISSING_STABLE_LAYER_COUNT,SUPPORTING,Read-only source audit.
