summary_type,summary_key,summary_value
COUNT,SELECTED_TICKER_COUNT,20
COUNT,SNAPSHOT_ROW_COUNT,313
COUNT,HISTORY_ROW_COUNT,691
LIQUIDITY,GOOD,88
LIQUIDITY,OK,113
LIQUIDITY,THIN,110
LIQUIDITY,UNUSABLE,2
SAFETY,OPTIONS_TRADE_EXECUTION_ALLOWED,FALSE
SAFETY,TRADING_EXECUTION_ALLOWED,FALSE
