snapshot_date,ticker,expiration_date,days_to_expiration,dte_bucket,underlying_price,atm_call_mid,atm_put_mid,atm_call_iv,atm_put_iv,atm_straddle_expected_move,atm_straddle_expected_move_pct,iv_sqrt_time_expected_move_pct,selected_expected_move_pct,otm_5_call_iv,otm_5_put_iv,otm_10_call_iv,otm_10_put_iv,put_call_iv_skew,put_call_volume_ratio,put_call_open_interest_ratio,good_contract_count,ok_contract_count,thin_contract_count,unusable_contract_count,dte_bucket_liquidity_status,dte_bucket_options_risk_score,dte_bucket_options_risk_level,calculation_notes
2026-05-28,GOOGL,2026-08-21,85,EXTENDED,388.8300,27.8500,25.5000,0.3815,0.3394,53.3500,0.1372,0.1739,0.1372,0.3750,0.3450,0.3733,0.3573,-0.0230,0.9161,1.1411,6,0,0,0,LOW,36.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ENTG,2026-06-18,21,MID,140.0000,9.7000,9.7000,0.7083,0.7084,19.4000,0.1386,0.1699,0.1386,0.7212,0.6561,0.6736,0.6812,-0.0287,2.3543,0.3524,0,2,4,0,HIGH,55.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ENTG,2026-07-17,50,FAR,140.0000,13.8500,13.5500,0.6650,0.6506,27.4000,0.1957,0.2435,0.1957,0.6370,0.6554,0.6605,0.6431,0.0005,0.2174,3.3846,0,0,6,0,HIGH,55.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ENTG,2026-08-21,85,EXTENDED,140.0000,19.2500,17.8000,0.7136,0.6594,37.0500,0.2646,0.3313,0.2646,0.7009,0.6654,0.6990,0.6791,-0.0277,6.3333,0.1523,0,4,2,0,MEDIUM,48.75,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,D,2026-06-18,21,MID,67.2000,1.0000,1.9250,0.2114,0.3408,2.9250,0.0435,0.0662,0.0435,0.2036,0.3108,0.4233,0.3545,0.0192,10.8503,0.7827,0,0,5,1,HIGH,31.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,D,2026-07-17,50,FAR,67.2000,1.9000,2.6500,0.2337,0.2937,4.5500,0.0677,0.0976,0.0677,0.2395,0.3228,0.2207,0.3521,0.1073,0.1667,0.2290,0,0,6,0,HIGH,42.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,D,2026-09-18,113,EXTENDED,67.2000,3.1250,3.7000,0.2430,0.2632,6.8250,0.1016,0.1408,0.1016,0.2272,0.3069,0.2305,0.2791,0.0641,5.5116,0.2131,0,3,3,0,MEDIUM,36.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,MCHP,2026-06-05,8,NEAR,96.8500,3.6500,3.6000,0.6138,0.5806,7.2500,0.0749,0.0884,0.0749,0.5979,0.5630,0.6099,0.6480,0.0016,0.0328,0.0631,0,1,5,0,HIGH,48.75,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,MCHP,2026-07-02,35,MID,96.8500,5.5500,2.6500,0.5360,0.5259,8.2000,0.0847,0.1644,0.0847,0.5736,UNKNOWN,0.5530,UNKNOWN,UNKNOWN,0.2500,0.0455,0,0,4,0,HIGH,60.00,HIGH,STRADDLE_EXPECTED_MOVE_USED;SKEW_UNKNOWN
2026-05-28,MCHP,2026-07-17,50,FAR,96.8500,7.6500,7.7000,0.5510,0.5094,15.3500,0.1585,0.1962,0.1585,0.5479,0.5158,0.5452,0.5234,-0.0269,0.5365,0.2966,4,2,0,0,LOW,42.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,MCHP,2026-09-18,113,EXTENDED,96.8500,11.9500,11.8500,0.5687,0.5339,23.8000,0.2457,0.3067,0.2457,0.5750,0.5371,0.5629,0.5325,-0.0341,0.1250,1.1817,2,4,0,0,LOW,42.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ICHR,2026-06-18,21,MID,73.7400,6.8000,5.7000,0.8618,0.8816,12.5000,0.1695,0.2091,0.1695,0.8247,0.8484,0.8518,0.8635,0.0177,0.8889,0.0833,0,1,5,0,HIGH,60.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ICHR,2026-07-17,50,FAR,73.7400,8.5500,13.1000,0.8298,0.8457,21.6500,0.2936,0.3101,0.2936,0.8198,0.8595,0.8237,UNKNOWN,0.0397,0.7500,0.1935,0,0,5,0,HIGH,65.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
