ticker,price_date,input_history_rows,duplicate_date_count,close_column_available,technical_status,formula_compatibility,technical_timing_score,technical_signal,technical_refresh_blocker,reason_summary
CLSK,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,40.0,TECH_TIMING_NEUTRAL,NONE,
CMG,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,50.0,TECH_TIMING_NEUTRAL,NONE,
LPLA,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,
LSCC,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,45.0,TECH_TIMING_NEUTRAL,NONE,
LYB,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,58.0,TECH_TIMING_NEUTRAL,NONE,
LYFT,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,76.0,TECH_TIMING_WATCH_POSITIVE,NONE,
MA,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,50.0,TECH_TIMING_NEUTRAL,NONE,
MCK,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,
MELI,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,66.0,TECH_TIMING_WATCH_POSITIVE,NONE,
MOH,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,58.0,TECH_TIMING_NEUTRAL,NONE,
MPLX,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,50.0,TECH_TIMING_NEUTRAL,NONE,
MTSI,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,40.0,TECH_TIMING_NEUTRAL,NONE,
MTZ,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,58.0,TECH_TIMING_NEUTRAL,NONE,
NAMS,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,50.0,TECH_TIMING_NEUTRAL,NONE,
NFLX,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,
NI,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,58.0,TECH_TIMING_NEUTRAL,NONE,
NRG,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,72.0,TECH_TIMING_WATCH_POSITIVE,NONE,
NTRA,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,58.0,TECH_TIMING_NEUTRAL,NONE,
NU,2026-05-20,1115,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,68.0,TECH_TIMING_WATCH_POSITIVE,NONE,
NUVB,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,58.0,TECH_TIMING_NEUTRAL,NONE,
OC,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,72.0,TECH_TIMING_WATCH_POSITIVE,NONE,
