priority_rank,ticker,output_bucket,trust_level,composite_score,tier_current,official_price_cache_available,technical_status,rolling_ledger_status,staged_backfill_status,data_gap_reason,likely_upgrade_path,priority_score,priority_reason
1,VECO,MEDIUM_TRUST_PARTIAL_WATCH,MEDIUM,67.62,TIER_0_DATA_NOT_READY,FALSE,TECH_TIMING_NEUTRAL,SKIPPED_NO_LOCAL_DATA,,OFFICIAL_PRICE_CACHE_MISSING,UNKNOWN_OR_OTHER_GAP,155,"medium_trust, score_present, technical_present"
2,XLK,MEDIUM_TRUST_PARTIAL_WATCH,MEDIUM,47.62,TIER_0_DATA_NOT_READY,FALSE,TECH_TIMING_NEUTRAL,SKIPPED_NO_LOCAL_DATA,,OFFICIAL_PRICE_CACHE_MISSING,UNKNOWN_OR_OTHER_GAP,155,"medium_trust, score_present, technical_present"
3,BLSH,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,NEEDS_OFFICIAL_INTEGRATION,55,"staged_merge_candidate, official_integration_possible"
4,CAI,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,NEEDS_OFFICIAL_INTEGRATION,55,"staged_merge_candidate, official_integration_possible"
5,CHYM,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,NEEDS_OFFICIAL_INTEGRATION,55,"staged_merge_candidate, official_integration_possible"
6,CNM,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
7,COF,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
8,CPAY,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
9,CPNG,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
10,CRH,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
11,CRS,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
12,CSGP,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
13,DAKT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
14,DAL,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
15,DASH,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
16,DB,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
17,DIS,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
18,DOCU,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
19,DUOL,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
20,EEM,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
21,ENPH,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
22,EQIX,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
23,EQT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
24,ET,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
25,EWY,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
26,EWZ,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
27,FLS,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
28,FLUT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
29,FWONK,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
30,GEHC,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
31,GOOG,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
32,GRAB,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
33,GS,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
34,GSG,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
35,GT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
36,HIVE,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
37,HLT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
38,HUBS,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
39,HUM,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
40,HUT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
41,IBIT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
42,INFY,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
43,ISRG,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
44,IWM,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
45,JCI,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
46,JD,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
47,JHX,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
