ticker,official_price_cache_available,official_price_cache_row_count,latest_price_date,close_column_available,full_history_ready,rolling_ledger_success,factor_pack_present_current,factor_pack_score_present_current,factor_pack_refresh_input_ready,factor_pack_refresh_blocker,technical_timing_present_current,technical_refresh_input_ready,technical_refresh_blocker,required_history_days_available,estimated_refresh_readiness,recommended_refresh_action,refresh_priority,reason_summary
BN,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
BSX,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
CART,TRUE,670,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,670,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=670; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
CDNS,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
CHPT,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
CHRW,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
CLF,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
CLH,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
CLSK,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
CMG,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
