priority_rank,ticker,output_bucket,trust_level,tier_current,data_gap_reason,rolling_ledger_status,staged_backfill_status,historic_evidence_source,historic_tier,historic_score,priority_score,priority_reason
1,COG,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
2,COGT,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
3,CRCL,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
4,CVNA,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
5,DBVT,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
6,FCNCA,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
7,FIGR,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
8,GEMI,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
9,HOOD,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
10,HTZ,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
