category,status,source_path,snapshot_path,relative_source_path,relative_snapshot_path,size_bytes,modified_time,sha256,error
SCRIPT,COPIED,D:\us-tech-quant\scripts\v18\v18_22B_stable_snapshot.py,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\scripts\v18\v18_22B_stable_snapshot.py,scripts/v18/v18_22B_stable_snapshot.py,scripts/v18/v18_22B_stable_snapshot.py,22981,2026-05-20T23:39:00,664a965b4d13e00b06da4f69f453702547da6cc666c073615e8eb7e472eef2c5,
SCRIPT,COPIED,D:\us-tech-quant\scripts\v18\run_v18_22B_stable_snapshot.ps1,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\scripts\v18\run_v18_22B_stable_snapshot.ps1,scripts/v18/run_v18_22B_stable_snapshot.ps1,scripts/v18/run_v18_22B_stable_snapshot.ps1,2498,2026-05-20T23:39:18,ba8bf9103cc2c7af078f552bdceca7225ff23a15be6443037c4d9de760dc116b,
SCRIPT,COPIED,D:\us-tech-quant\scripts\v18\v18_22B_daily_research_command_center_wrapper.py,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\scripts\v18\v18_22B_daily_research_command_center_wrapper.py,scripts/v18/v18_22B_daily_research_command_center_wrapper.py,scripts/v18/v18_22B_daily_research_command_center_wrapper.py,27993,2026-05-20T23:34:18,b79ad1e76afd5907d277c2ef2871fc911a1a139bf58768bfa1eb6d21c93391ef,
SCRIPT,COPIED,D:\us-tech-quant\scripts\v18\run_v18_22B_daily_research_command_center_wrapper.ps1,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\scripts\v18\run_v18_22B_daily_research_command_center_wrapper.ps1,scripts/v18/run_v18_22B_daily_research_command_center_wrapper.ps1,scripts/v18/run_v18_22B_daily_research_command_center_wrapper.ps1,2791,2026-05-20T23:33:57,5ff39da680cb0614814800d83ad7c86faf43f2e497a68d7f1429803d7b26cc16,
SCRIPT,COPIED,D:\us-tech-quant\scripts\v18\v18_22A_research_command_center.py,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\scripts\v18\v18_22A_research_command_center.py,scripts/v18/v18_22A_research_command_center.py,scripts/v18/v18_22A_research_command_center.py,40111,2026-05-20T23:04:40,b9b76794f10ff7aaef085f6388bc30a594a260c1aba599385f681df43583b62a,
SCRIPT,COPIED,D:\us-tech-quant\scripts\v18\run_v18_22A_research_command_center.ps1,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\scripts\v18\run_v18_22A_research_command_center.ps1,scripts/v18/run_v18_22A_research_command_center.ps1,scripts/v18/run_v18_22A_research_command_center.ps1,2354,2026-05-20T23:04:24,658c9916d9321206d66aadcece6d5c1a03c2b90ec96cc3fed9753ed305957d33,
OUTPUT,COPIED,D:\us-tech-quant\outputs\v18\research_command_center\V18_22B_CURRENT_DAILY_RESEARCH_PACKET.md,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\outputs\v18\research_command_center\V18_22B_CURRENT_DAILY_RESEARCH_PACKET.md,outputs/v18/research_command_center/V18_22B_CURRENT_DAILY_RESEARCH_PACKET.md,outputs/v18/research_command_center/V18_22B_CURRENT_DAILY_RESEARCH_PACKET.md,1533,2026-05-20T23:34:24,efd3e96c0f818001c3c5dbd34e351fbd88e1fa4357a5bce832299590a681a2ca,
OUTPUT,COPIED,D:\us-tech-quant\outputs\v18\research_command_center\V18_22B_CURRENT_DAILY_RESEARCH_GATE_SUMMARY.csv,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\outputs\v18\research_command_center\V18_22B_CURRENT_DAILY_RESEARCH_GATE_SUMMARY.csv,outputs/v18/research_command_center/V18_22B_CURRENT_DAILY_RESEARCH_GATE_SUMMARY.csv,outputs/v18/research_command_center/V18_22B_CURRENT_DAILY_RESEARCH_GATE_SUMMARY.csv,1353,2026-05-20T23:34:24,c99496e297f2bb009fc5db016acf1d485338b9ed1dc7ef8b1f1220642a4fbdee,
OUTPUT,COPIED,D:\us-tech-quant\outputs\v18\research_command_center\V18_22B_CURRENT_DAILY_RESEARCH_ACTION_SUMMARY.csv,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\outputs\v18\research_command_center\V18_22B_CURRENT_DAILY_RESEARCH_ACTION_SUMMARY.csv,outputs/v18/research_command_center/V18_22B_CURRENT_DAILY_RESEARCH_ACTION_SUMMARY.csv,outputs/v18/research_command_center/V18_22B_CURRENT_DAILY_RESEARCH_ACTION_SUMMARY.csv,1107,2026-05-20T23:34:24,5742e8a185ad316106305817091012fbd6ded691117c52084c08049583dd86bc,
OUTPUT,COPIED,D:\us-tech-quant\outputs\v18\research_command_center\V18_22B_CURRENT_WRAPPER_SAFETY_AUDIT.csv,D:\us-tech-quant\archive\stable\V18_22B_stable_daily_research_command_center_wrapper_20260520_233923\outputs\v18\research_command_center\V18_22B_CURRENT_WRAPPER_SAFETY_AUDIT.csv,outputs/v18/research_command_center/V18_22B_CURRENT_WRAPPER_SAFETY_AUDIT.csv,outputs/v18/research_command_center/V18_22B_CURRENT_WRAPPER_SAFETY_AUDIT.csv,2734,2026-05-20T23:34:24,273c170b9e944aa624af4454dcf8d3cefd505ed63ea008855d202a5254e9111d,
