summary_type,summary_key,summary_value
COUNT,TOP20_TOTAL_COUNT,20
COUNT,EARNINGS_DATE_FOUND_COUNT,1
COUNT,UNKNOWN_EVENT_DATA_COUNT,19
COUNT,MULTI_SOURCE_CONFLICT_COUNT,0
RISK,LOW_PASS,1
RISK,UNKNOWN_REVIEW,19
SAFETY,OFFICIAL_RANKING_CHANGED,FALSE
SAFETY,FACTOR_WEIGHTS_CHANGED,FALSE
SAFETY,OFFICIAL_BUY_PERMISSION_CHANGED,FALSE
SAFETY,OFFICIAL_SELL_PERMISSION_CHANGED,FALSE
