summary_type,summary_key,summary_value
COUNT,TOP20_TOTAL_COUNT,20
COUNT,TOP20_MATCHED_EARNINGS_COUNT,1
COUNT,TOP20_MATCHED_MANUAL_OR_SEED_COUNT,0
COUNT,TOP20_UNKNOWN_BEFORE_COUNT,19
COUNT,TOP20_UNKNOWN_AFTER_COUNT,19
COUNT,UNKNOWN_REDUCTION_COUNT,0
SAFETY,OFFICIAL_RANKING_CHANGED,FALSE
SAFETY,FACTOR_WEIGHTS_CHANGED,FALSE
SAFETY,TRADING_EXECUTION_ALLOWED,FALSE
