snapshot_date,ticker,rank,tracking_tier,matched_any_event_source,matched_earnings_source,matched_macro_source,matched_manual_source,matched_seed_source,best_next_earnings_date,best_next_earnings_source,days_to_best_next_earnings,latest_past_earnings_date,latest_past_earnings_source,days_since_latest_past_earnings,nearest_macro_event_date,nearest_macro_event_type,days_to_nearest_macro_event,manual_override_found,seed_row_found,match_status,unknown_reason,recommended_fix
2026-05-28,KEYS,1,TIER_2_IMPORTANT,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,VRT,2,TIER_2_IMPORTANT,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,ICHR,3,TIER_2_IMPORTANT,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,NVDA,4,TIER_2_IMPORTANT,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,D,5,TIER_2_IMPORTANT,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,AMKR,6,TIER_2_IMPORTANT,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,GOOGL,7,TIER_2_IMPORTANT,TRUE,TRUE,FALSE,FALSE,FALSE,2026-07-22,D:\us-tech-quant\state\v18\cloud_earnings_event_calendar.csv,39,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,MATCHED_EARNINGS,NONE,NONE
2026-05-28,FIX,8,TIER_2_IMPORTANT,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,MCHP,9,TIER_2_IMPORTANT,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,LITE,10,TIER_2_IMPORTANT,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
