ticker,company_name,rank,tracking_tier,manual_next_earnings_date,manual_event_date,manual_event_type,manual_event_risk_level,manual_event_reason,source_note,last_reviewed_date,active,safe_to_copy_to_manual_seed
KEYS,,1,TIER_1_CORE,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
VRT,,2,TIER_1_CORE,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
ICHR,,3,TIER_1_CORE,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
NVDA,,4,TIER_1_CORE,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
D,,5,TIER_1_CORE,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
AMKR,,6,TIER_2_IMPORTANT,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
GOOGL,,7,TIER_2_IMPORTANT,2026-07-22,2026-07-22,EARNINGS,LOW_PASS,Review and copy only after confirming source date.,cloud_earnings_event_calendar.csv,2026-05-30,FALSE,TRUE
FIX,,8,TIER_2_IMPORTANT,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
MCHP,,9,TIER_2_IMPORTANT,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
LITE,,10,TIER_2_IMPORTANT,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
CARR,,11,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
ENTG,,12,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
CRWV,,13,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
ETR,,14,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
COHU,,15,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
GEV,,16,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
FN,,17,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
ETN,,18,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
HUBB,,19,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
POWL,,20,TIER_3_OCCASIONAL,,,,UNKNOWN_REVIEW,No reliable auto date found; manual review required.,AUTO_MISSING,2026-05-30,FALSE,FALSE
