source_path,source_row_number,normalized_ticker,normalized_event_date,normalized_event_type,original_event_type,parse_status,parse_issue_reason,is_current_top20_match,raw_ticker,raw_date,raw_reason
D:\us-tech-quant\state\v18\cloud_earnings_event_calendar.csv,1,CRM,2026-05-27,EARNINGS,CRM Salesforce FY2027 Q1 earnings after market close,OK,,FALSE,CRM,2026-05-27,Salesforce official IR: results after market close; major cloud/SaaS read-through.
D:\us-tech-quant\state\v18\cloud_earnings_event_calendar.csv,2,ORCL,2026-06-15,EARNINGS,ORCL Oracle FY2026 Q4 earnings mid-June watch window,OK,,FALSE,ORCL,2026-06-15,Oracle official FAQ says FY2026 Q4 earnings will be announced in mid-June 2026; date set to mid-month watch anchor until official date appears.
D:\us-tech-quant\state\v18\cloud_earnings_event_calendar.csv,3,GOOGL,2026-07-22,EARNINGS,GOOGL Alphabet Q2 2026 earnings estimated,OK,,TRUE,GOOGL,2026-07-22,Estimated earnings date; replace with official Alphabet IR date once announced.
D:\us-tech-quant\state\v18\cloud_earnings_event_calendar.csv,4,MSFT,2026-07-29,EARNINGS,MSFT Microsoft FY2026 Q4 earnings estimated,OK,,FALSE,MSFT,2026-07-29,Estimated earnings date; Microsoft IR currently says next earnings release will be announced soon.
D:\us-tech-quant\state\v18\cloud_earnings_event_calendar.csv,5,AMZN,2026-07-30,EARNINGS,AMZN Amazon Q2 2026 earnings estimated,OK,,FALSE,AMZN,2026-07-30,Estimated earnings date; replace with official Amazon IR date once announced.
D:\us-tech-quant\state\v16\event_calendar.csv,1,CRM,2026-05-27,EARNINGS,CRM Salesforce FY2027 Q1 earnings after market close,OK,,FALSE,CRM,2026-05-27,Salesforce official IR: results after market close; major cloud/SaaS read-through.
D:\us-tech-quant\state\v16\event_calendar.csv,2,ORCL,2026-06-15,EARNINGS,ORCL Oracle FY2026 Q4 earnings mid-June watch window,OK,,FALSE,ORCL,2026-06-15,Oracle official FAQ says FY2026 Q4 earnings will be announced in mid-June 2026; date set to mid-month watch anchor until official date appears.
D:\us-tech-quant\state\v16\event_calendar.csv,3,GOOGL,2026-07-22,EARNINGS,GOOGL Alphabet Q2 2026 earnings estimated,OK,,TRUE,GOOGL,2026-07-22,Estimated earnings date; replace with official Alphabet IR date once announced.
D:\us-tech-quant\state\v16\event_calendar.csv,4,MSFT,2026-07-29,EARNINGS,MSFT Microsoft FY2026 Q4 earnings estimated,OK,,FALSE,MSFT,2026-07-29,Estimated earnings date; Microsoft IR currently says next earnings release will be announced soon.
D:\us-tech-quant\state\v16\event_calendar.csv,5,AMZN,2026-07-30,EARNINGS,AMZN Amazon Q2 2026 earnings estimated,OK,,FALSE,AMZN,2026-07-30,Estimated earnings date; replace with official Amazon IR date once announced.
D:\us-tech-quant\data\events\v16_macro_events.csv,1,ALL,2026-05-08,MACRO,NFP / Nonfarm Payrolls,OK,,FALSE,ALL,2026-05-08,Seeded from V16 discussion. Update this file when new macro dates are known.
D:\us-tech-quant\data\events\v16_macro_events.csv,2,ALL,2026-05-12,MACRO,CPI,OK,,FALSE,ALL,2026-05-12,Seeded from V16 discussion. Update this file when new macro dates are known.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,1,KEYS,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,KEYS,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,2,VRT,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,VRT,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,3,ICHR,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,ICHR,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,4,NVDA,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,NVDA,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,5,D,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,D,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,6,AMKR,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,AMKR,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,7,GOOGL,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,GOOGL,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,8,FIX,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,FIX,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,9,MCHP,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,MCHP,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,10,LITE,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,LITE,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,11,CARR,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,CARR,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,12,ENTG,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,ENTG,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,13,CRWV,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,CRWV,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,14,ETR,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,ETR,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,15,COHU,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,COHU,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,16,GEV,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,GEV,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,17,FN,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,FN,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,18,ETN,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,ETN,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,19,HUBB,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,HUBB,,Fill local earnings/event date manually; set active TRUE after review.
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,20,POWL,,EARNINGS,,DATE_PARSE_FAILED,BLANK_DATE,TRUE,POWL,,Fill local earnings/event date manually; set active TRUE after review.
