summary_type,summary_key,summary_value
SOURCE,CURRENT_TOP20_SOURCE_PATH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_TOP_RANKED_CANDIDATES.csv
SOURCE,TOP20_PRIORITY_TRACKER_PATH,D:\us-tech-quant\outputs\v18\tracking\V18_47B_TOP20_PRIORITY_TRACKER.csv
SOURCE,EVENT_SOURCES_FOUND,D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv;D:\us-tech-quant\state\v18\V18_47C_TOP20_90D_RISK_EVENT_AUTO_CACHE.csv;D:\us-tech-quant\state\v18\cloud_earnings_event_calendar.csv;D:\us-tech-quant\state\v16\event_calendar.csv;D:\us-tech-quant\data\events\v16_macro_events.csv;D:\us-tech-quant\data\events\v16_earnings_overrides.csv
SOURCE,EVENT_SOURCES_MISSING,D:\us-tech-quant\state\v18\manual_event_overrides.csv;D:\us-tech-quant\state\v18\V18_47C_MANUAL_EVENT_OVERRIDES.csv
COUNT,OUTPUT_ROW_COUNT,20
RISK,LOW_PASS,18
RISK,MEDIUM_REDUCE_SIZE,0
RISK,HIGH_HOLD_REVIEW,0
RISK,EXTREME_NO_NEW_BUYS,0
RISK,UNKNOWN_REVIEW,2
SAFETY,OFFICIAL_RANKING_CHANGED,FALSE
SAFETY,FACTOR_WEIGHTS_CHANGED,FALSE
SAFETY,TRADING_EXECUTION_ALLOWED,FALSE
