snapshot_date,snapshot_timestamp,ticker,rank,base_score,composite_candidate_score,tracking_tier,event_tracking_priority,options_tracking_priority,latest_price_date,freshness_status,actionable_allowed_by_freshness,next_earnings_date,days_to_earnings,earnings_source,earnings_window_flag,post_earnings_window_flag,earnings_risk_level,earnings_risk_reason,macro_event_date,macro_event_type,days_to_macro_event,macro_risk_level,macro_risk_reason,manual_event_flag,manual_event_date,manual_event_type,manual_event_risk_level,manual_event_reason,sector_event_exposure,sector_event_risk_level,final_event_risk_level,final_event_risk_reason,buy_permission_after_event_gate,sell_review_after_event_gate,event_data_quality,event_source_coverage,notes
2026-05-30,2026-05-30T16:51:43+09:00,KEYS,1,UNKNOWN,57.456,TIER_1_CORE,HIGH,HIGH,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,2026-08-18,57,AUTO_90D_CACHE:ALPHAVANTAGE_BULK,FALSE,LOW_PASS,LOW_PASS,Next earnings event is 57 business day(s) away.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,LOW_PASS,Next earnings event is 57 business day(s) away.,EVENT_GATE_PASS,NO_EVENT_SELL_REVIEW_REQUIRED,PARTIAL,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
2026-05-30,2026-05-30T16:51:43+09:00,VRT,2,UNKNOWN,57.4,TIER_1_CORE,HIGH,HIGH,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,2026-07-29,43,AUTO_90D_CACHE:ALPHAVANTAGE_BULK,FALSE,LOW_PASS,LOW_PASS,Next earnings event is 43 business day(s) away.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,LOW_PASS,Next earnings event is 43 business day(s) away.,EVENT_GATE_PASS,NO_EVENT_SELL_REVIEW_REQUIRED,PARTIAL,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
2026-05-30,2026-05-30T16:51:43+09:00,ICHR,3,UNKNOWN,56.64,TIER_1_CORE,HIGH,HIGH,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,2026-08-04,47,AUTO_90D_CACHE:ALPHAVANTAGE_BULK,FALSE,LOW_PASS,LOW_PASS,Next earnings event is 47 business day(s) away.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,LOW_PASS,Next earnings event is 47 business day(s) away.,EVENT_GATE_PASS,NO_EVENT_SELL_REVIEW_REQUIRED,PARTIAL,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
2026-05-30,2026-05-30T16:51:43+09:00,NVDA,4,UNKNOWN,54.62,TIER_1_CORE,HIGH,HIGH,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW_PASS,UNKNOWN_REVIEW,No local earnings date found for ticker.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,UNKNOWN_REVIEW,"Known event risks are low, but missing source data prevents confident pass: No local earnings date found for ticker.",EVENT_DATA_UNKNOWN_REVIEW_REQUIRED,EVENT_DATA_UNKNOWN_REVIEW_REQUIRED,UNKNOWN_REVIEW_REQUIRED,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
2026-05-30,2026-05-30T16:51:43+09:00,D,5,UNKNOWN,53.916,TIER_1_CORE,HIGH,HIGH,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,2026-07-30,44,AUTO_90D_CACHE:ALPHAVANTAGE_BULK,FALSE,LOW_PASS,LOW_PASS,Next earnings event is 44 business day(s) away.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,LOW_PASS,Next earnings event is 44 business day(s) away.,EVENT_GATE_PASS,NO_EVENT_SELL_REVIEW_REQUIRED,PARTIAL,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
2026-05-30,2026-05-30T16:51:43+09:00,AMKR,6,UNKNOWN,53.592,TIER_2_IMPORTANT,MEDIUM,MEDIUM,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,2026-07-27,41,AUTO_90D_CACHE:ALPHAVANTAGE_BULK,FALSE,LOW_PASS,LOW_PASS,Next earnings event is 41 business day(s) away.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,LOW_PASS,Next earnings event is 41 business day(s) away.,EVENT_GATE_PASS,NO_EVENT_SELL_REVIEW_REQUIRED,PARTIAL,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
2026-05-30,2026-05-30T16:51:43+09:00,GOOGL,7,UNKNOWN,53.476,TIER_2_IMPORTANT,MEDIUM,MEDIUM,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,2026-07-22,38,AUTO_90D_CACHE:cloud_earnings_event_calendar.csv,FALSE,LOW_PASS,LOW_PASS,Next earnings event is 38 business day(s) away.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,LOW_PASS,Next earnings event is 38 business day(s) away.,EVENT_GATE_PASS,NO_EVENT_SELL_REVIEW_REQUIRED,PARTIAL,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
2026-05-30,2026-05-30T16:51:43+09:00,FIX,8,UNKNOWN,53.096,TIER_2_IMPORTANT,MEDIUM,MEDIUM,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,2026-07-23,39,AUTO_90D_CACHE:ALPHAVANTAGE_BULK,FALSE,LOW_PASS,LOW_PASS,Next earnings event is 39 business day(s) away.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,LOW_PASS,Next earnings event is 39 business day(s) away.,EVENT_GATE_PASS,NO_EVENT_SELL_REVIEW_REQUIRED,PARTIAL,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
2026-05-30,2026-05-30T16:51:43+09:00,MCHP,9,UNKNOWN,52.448,TIER_2_IMPORTANT,MEDIUM,MEDIUM,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,2026-08-06,49,AUTO_90D_CACHE:ALPHAVANTAGE_BULK,FALSE,LOW_PASS,LOW_PASS,Next earnings event is 49 business day(s) away.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,LOW_PASS,Next earnings event is 49 business day(s) away.,EVENT_GATE_PASS,NO_EVENT_SELL_REVIEW_REQUIRED,PARTIAL,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
2026-05-30,2026-05-30T16:51:43+09:00,LITE,10,UNKNOWN,52.332,TIER_2_IMPORTANT,MEDIUM,MEDIUM,2026-05-26,FRESH_LATEST_PRICE_DATE,TRUE,2026-08-12,53,AUTO_90D_CACHE:ALPHAVANTAGE_BULK,FALSE,LOW_PASS,LOW_PASS,Next earnings event is 53 business day(s) away.,UNKNOWN,NONE_NEAR,UNKNOWN,LOW_PASS,No future local macro event window found.,FALSE,UNKNOWN,UNKNOWN,LOW_PASS,No applicable manual event override.,UNKNOWN,LOW_PASS,LOW_PASS,Next earnings event is 53 business day(s) away.,EVENT_GATE_PASS,NO_EVENT_SELL_REVIEW_REQUIRED,PARTIAL,EARNINGS=TRUE;MACRO=TRUE;MANUAL=FALSE,"Read-only event risk layer; no prediction, ranking, weight, trading, broker, or order changes."
