list_name,rank,ticker,sort_metric,sort_metric_value,event_action_status,notes
TOP_HARD_LOCK_OVERLAY_AFFECTED_TICKERS,8,ADBE,final_advisory_ticker_event_risk_coefficient,0.300000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,All overlay-affected tickers share the same market-wide overlay coefficient; ticker is final tie-breaker.
TOP_HARD_LOCK_OVERLAY_AFFECTED_TICKERS,9,ADMA,final_advisory_ticker_event_risk_coefficient,0.300000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,All overlay-affected tickers share the same market-wide overlay coefficient; ticker is final tie-breaker.
TOP_HARD_LOCK_OVERLAY_AFFECTED_TICKERS,10,ADSK,final_advisory_ticker_event_risk_coefficient,0.300000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,All overlay-affected tickers share the same market-wide overlay coefficient; ticker is final tie-breaker.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,1,FORM,event_adjusted_score_with_advisory_overlay,30.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,2,LITE,event_adjusted_score_with_advisory_overlay,29.715000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,3,POWL,event_adjusted_score_with_advisory_overlay,29.430000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,4,MU,event_adjusted_score_with_advisory_overlay,29.142000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,5,SOXL,event_adjusted_score_with_advisory_overlay,28.857000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,6,GLW,event_adjusted_score_with_advisory_overlay,28.572000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,7,AEHR,event_adjusted_score_with_advisory_overlay,28.287000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,8,ICHR,event_adjusted_score_with_advisory_overlay,27.999000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,9,MOD,event_adjusted_score_with_advisory_overlay,27.714000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_ADVISORY_SCORE,10,SNDK,event_adjusted_score_with_advisory_overlay,27.429000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by advisory-overlay adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,1,FORM,event_adjusted_score_calendar_only,100.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,2,LITE,event_adjusted_score_calendar_only,99.050000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,3,POWL,event_adjusted_score_calendar_only,98.100000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,4,MU,event_adjusted_score_calendar_only,97.140000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,5,SOXL,event_adjusted_score_calendar_only,96.190000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,6,GLW,event_adjusted_score_calendar_only,95.240000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,7,AEHR,event_adjusted_score_calendar_only,94.290000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,8,ICHR,event_adjusted_score_calendar_only,93.330000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,9,MOD,event_adjusted_score_calendar_only,92.380000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
TOP_EVENT_ADJUSTED_CANDIDATES_BY_CALENDAR_ONLY_SCORE,10,SNDK,event_adjusted_score_calendar_only,91.430000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,Sorted by calendar-only adjusted score.
