source_path,source_exists,row_count,detected_ticker_columns,detected_date_columns,detected_event_type_columns,parseable_date_count,min_event_date,max_event_date,current_top20_ticker_match_count,current_top20_ticker_match_rate,missing_required_columns,source_usable,source_issue_reason
D:\us-tech-quant\state\v18\cloud_earnings_event_calendar.csv,TRUE,5,ticker,event_date,event_name;event_type,5,2026-05-27,2026-07-30,1,0.05,NONE,TRUE,OK
D:\us-tech-quant\state\v16\event_calendar.csv,TRUE,5,ticker,event_date,event_name;event_type,5,2026-05-27,2026-07-30,1,0.05,NONE,TRUE,OK
D:\us-tech-quant\data\events\v16_macro_events.csv,TRUE,2,NONE,event_date,event_name;event_type,2,2026-05-08,2026-05-12,0,0.00,NONE,TRUE,OK
D:\us-tech-quant\data\events\v16_earnings_overrides.csv,TRUE,0,NONE,NONE,NONE,0,UNKNOWN,UNKNOWN,0,0.00,ticker;date;event_type,FALSE,NO_ROWS
D:\us-tech-quant\state\v18\manual_event_overrides.csv,FALSE,0,NONE,NONE,NONE,0,UNKNOWN,UNKNOWN,0,0.00,ticker;date;event_type,FALSE,SOURCE_MISSING
D:\us-tech-quant\state\v18\V18_47C_MANUAL_EVENT_OVERRIDES.csv,FALSE,0,NONE,NONE,NONE,0,UNKNOWN,UNKNOWN,0,0.00,ticker;date;event_type,FALSE,SOURCE_MISSING
D:\us-tech-quant\state\v18\V18_47C_TOP20_EVENT_EARNINGS_SEED.csv,TRUE,20,ticker,manual_next_earnings_date;manual_event_date,manual_event_type,0,UNKNOWN,UNKNOWN,20,1.00,NONE,FALSE,EVENT_SOURCE_DATE_PARSE_FAILED
