factor,alpha_strength,drawdown_risk,historical_promotion_status,historical_final_role,avg_rank,top1_count,top3_rate,avg_sharpe,avg_cagr,worst_max_drawdown,alpha_score,drawdown_penalty,historical_net_evidence_score,global_forward_gate,global_promotion_recommendation,global_promotion_action,global_official_decision_impact,forward_source,forward_factor_row_found,forward_status,forward_completed_observation_max,forward_text_hit,cluster_role,merged_promotion_status,official_decision_impact,promotion_action
F007_PULLBACK_IN_UPTREND,STRONG_ALPHA,VERY_HIGH_DRAWDOWN_RISK,CORE_WATCH_NOT_PROMOTED_DD_BLOCKED,CORE_PULLBACK_UPTREND_ALPHA,1.8645833333333333,52,0.9166666666666666,2.014912806014688,1.3951124141435578,-0.5831583807086903,5,2.5,2.5,FORWARD_KEEP_WATCHING_NO_PROMOTION,KEEP_WATCHING,NONE,NONE,D:\us-tech-quant\outputs\v18\outcome_summary\V18_4B_CURRENT_FACTOR_OUTCOME_SUMMARY.csv,False,FORWARD_NOT_FACTOR_SPECIFIC,,,CORE_ALPHA_WATCH,CORE_WATCH_NOT_PROMOTED_DD_AND_FORWARD_BLOCKED,NONE,NONE
F009_VOLUME_PRICE_CONFIRM,HIGH_ALPHA,HIGH_DRAWDOWN_RISK,STRONG_CONFIRMATION_WATCH_DD_BLOCKED,PRIMARY_VOLUME_PRICE_CONFIRMATION,2.84375,24,0.6041666666666666,1.887427606536612,1.1844437792392093,-0.539996266245066,4,2.0,2.0,FORWARD_KEEP_WATCHING_NO_PROMOTION,KEEP_WATCHING,NONE,NONE,D:\us-tech-quant\outputs\v18\outcome_summary\V18_4B_CURRENT_FACTOR_OUTCOME_SUMMARY.csv,False,FORWARD_NOT_FACTOR_SPECIFIC,,,PRIMARY_CONFIRMATION_WATCH,PRIMARY_CONFIRMATION_WATCH_NOT_PROMOTED_DD_AND_FORWARD_BLOCKED,NONE,NONE
F010_XSEC_COMPOSITE_RANK,SECONDARY_ALPHA,EXTREME_DRAWDOWN_RISK,AUXILIARY_EVIDENCE_ONLY,COMPOSITE_RANK_STABILIZER,3.4791666666666665,0,0.5416666666666666,1.831063451779591,1.0739227544860828,-0.6562881659458778,2,3.0,-1.0,FORWARD_KEEP_WATCHING_NO_PROMOTION,KEEP_WATCHING,NONE,NONE,D:\us-tech-quant\outputs\v18\outcome_summary\V18_4B_CURRENT_FACTOR_OUTCOME_SUMMARY.csv,False,FORWARD_NOT_FACTOR_SPECIFIC,,,AUXILIARY_STABILIZER_ONLY,AUXILIARY_EVIDENCE_ONLY,NONE,NONE
F011_TS_MOMENTUM_60_120,MODERATE_ALPHA,HIGH_DRAWDOWN_RISK,SECONDARY_EVIDENCE_ONLY,TREND_CONFIRMATION_ONLY,3.84375,5,0.40625,1.7901406914268303,1.143998709162114,-0.5152784751385067,3,2.0,1.0,FORWARD_KEEP_WATCHING_NO_PROMOTION,KEEP_WATCHING,NONE,NONE,D:\us-tech-quant\outputs\v18\outcome_summary\V18_4B_CURRENT_FACTOR_OUTCOME_SUMMARY.csv,False,FORWARD_NOT_FACTOR_SPECIFIC,,,AUXILIARY_TREND_CONFIRMATION,AUXILIARY_EVIDENCE_ONLY,NONE,NONE
F008_VOLUME_ABNORMAL_5_20,MODERATE_ALPHA,ELEVATED_DRAWDOWN_RISK,SECONDARY_EVIDENCE_ONLY,VOLUME_ABNORMALITY_AUXILIARY,4.229166666666667,9,0.3125,1.679887281490479,0.8020364413396099,-0.4784966011301019,3,1.25,1.75,FORWARD_KEEP_WATCHING_NO_PROMOTION,KEEP_WATCHING,NONE,NONE,D:\us-tech-quant\outputs\v18\outcome_summary\V18_4B_CURRENT_FACTOR_OUTCOME_SUMMARY.csv,False,FORWARD_NOT_FACTOR_SPECIFIC,,,AUXILIARY_VOLUME_ABNORMALITY,AUXILIARY_EVIDENCE_ONLY,NONE,NONE
F006_SHORT_REV_5D,SECONDARY_ALPHA,VERY_HIGH_DRAWDOWN_RISK,AUXILIARY_EVIDENCE_ONLY,SHORT_REVERSAL_AUXILIARY,4.739583333333333,6,0.21875,1.5447572417177484,0.8193321854956102,-0.5630957417308314,2,2.5,-0.5,FORWARD_KEEP_WATCHING_NO_PROMOTION,KEEP_WATCHING,NONE,NONE,D:\us-tech-quant\outputs\v18\outcome_summary\V18_4B_CURRENT_FACTOR_OUTCOME_SUMMARY.csv,False,FORWARD_NOT_FACTOR_SPECIFIC,,,AUXILIARY_SHORT_REVERSAL,AUXILIARY_EVIDENCE_ONLY,NONE,NONE
