snapshot_run_date,snapshot_price_date,ticker,latest_close,rank_overall,composite_score,group_factor_top10,group_factor_top30,group_official_review,group_factor_pack_overlap,group_v18_3c_overlap,selected_factor,official_final_action,buy_permission,official_decision_impact,promotion_action,return_1obs_pct,target_price_date_1obs,target_close_1obs,status_1obs,return_3obs_pct,target_price_date_3obs,target_close_3obs,status_3obs,return_5obs_pct,target_price_date_5obs,target_close_5obs,status_5obs,return_10obs_pct,target_price_date_10obs,target_close_10obs,status_10obs,return_20obs_pct,target_price_date_20obs,target_close_20obs,status_20obs
2026-05-14,2026-05-13,BTDR,13.220000,91,86.666667,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,11.5734,2026-05-14,14.750000,DONE,-0.5295,2026-05-18,13.150000,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CAMT,168.880005,93,88.571429,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,1.4685,2026-05-14,171.360001,DONE,-7.7807,2026-05-18,155.740005,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CARR,65.570000,46,43.809524,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,1.7691,2026-05-14,66.730003,DONE,-1.6166,2026-05-18,64.510002,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CEG,274.890015,49,46.666667,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,0.1346,2026-05-14,275.260010,DONE,-4.6892,2026-05-18,262.000000,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CIEN,577.900024,43,40.952381,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,2.3655,2026-05-14,591.570007,DONE,-9.2352,2026-05-18,524.530029,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CIFR,21.240000,65,61.904762,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,4.9435,2026-05-14,22.290001,DONE,-9.9812,2026-05-18,19.120001,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CLS,372.549988,86,81.904762,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,2.4265,2026-05-14,381.589996,DONE,-8.0204,2026-05-18,342.670013,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,COHR,403.709991,39,37.142857,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,0.3047,2026-05-14,404.940002,DONE,-10.1261,2026-05-18,362.829987,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,COHU,49.160000,79,75.238095,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-0.4068,2026-05-14,48.959999,DONE,-10.0895,2026-05-18,44.200001,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CORZ,24.000000,84,80.0,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,3.8333,2026-05-14,24.920000,DONE,-1.7917,2026-05-18,23.570000,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CRDO,189.360001,85,80.952381,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-2.5454,2026-05-14,184.539993,DONE,-17.4746,2026-05-18,156.270004,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CRM,165.839996,32,30.47619,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,1.0492,2026-05-14,167.580002,DONE,8.2248,2026-05-18,179.479996,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CRWD,562.570007,6,5.714286,TRUE,TRUE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,3.0894,2026-05-14,579.950012,DONE,10.0005,2026-05-18,618.830017,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CRWV,111.309998,103,98.095238,FALSE,FALSE,TRUE,TRUE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,2.6098,2026-05-14,114.214996,DONE,-6.7739,2026-05-18,103.769997,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,CSCO,101.870003,33,31.428571,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,13.4092,2026-05-14,115.529999,DONE,16.6977,2026-05-18,118.879997,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,D,62.720001,48,45.714286,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,0.3986,2026-05-14,62.970001,DONE,7.7168,2026-05-18,67.559998,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,DDOG,205.309998,2,1.904762,TRUE,TRUE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-1.2031,2026-05-14,202.839996,DONE,1.7096,2026-05-18,208.820007,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,DELL,243.869995,80,76.190476,FALSE,FALSE,TRUE,TRUE,TRUE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,1.6484,2026-05-14,247.889999,DONE,-2.3947,2026-05-18,238.029999,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,ECL,249.619995,56,53.333333,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-0.2964,2026-05-14,248.880005,DONE,-0.1642,2026-05-18,249.210007,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,ENTG,145.039993,100,95.238095,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-3.9851,2026-05-14,139.259995,DONE,-12.2932,2026-05-18,127.209999,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,ETN,406.940002,87,82.857143,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,0.2851,2026-05-14,408.100006,DONE,-6.1606,2026-05-18,381.869995,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,ETR,112.349998,88,83.809524,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,0.4895,2026-05-14,112.900002,DONE,-2.4655,2026-05-18,109.580002,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,FIX,2034.630005,25,23.809524,FALSE,TRUE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,0.3799,2026-05-14,2042.359985,DONE,-8.8566,2026-05-18,1854.430054,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,FLEX,143.800003,51,48.571429,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-0.1391,2026-05-14,143.600006,DONE,-9.7844,2026-05-18,129.729996,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,FLR,45.029999,81,77.142857,FALSE,FALSE,TRUE,TRUE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,1.0215,2026-05-14,45.490002,DONE,-1.5101,2026-05-18,44.349998,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,FN,696.070007,60,57.142857,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,7.2406,2026-05-14,746.469971,DONE,0.6020,2026-05-18,700.260010,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,FORM,129.309998,105,100.0,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-1.0208,2026-05-14,127.989998,DONE,-9.1950,2026-05-18,117.419998,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,GEV,1062.569946,94,89.52381,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,2.6314,2026-05-14,1090.530029,DONE,-4.7357,2026-05-18,1012.250000,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,GLW,206.509995,59,56.190476,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,0.8571,2026-05-14,208.279999,DONE,-13.5393,2026-05-18,178.550003,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,GNRC,267.250000,36,34.285714,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,3.4574,2026-05-14,276.489990,DONE,-5.3134,2026-05-18,253.050003,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,GOOGL,402.619995,8,7.619048,TRUE,TRUE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-0.3850,2026-05-14,401.070007,DONE,-1.4108,2026-05-18,396.940002,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,HPE,32.070000,26,24.761905,FALSE,TRUE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,6.4235,2026-05-14,34.130001,DONE,2.8999,2026-05-18,33.000000,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,HUBB,483.790009,71,67.619048,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-0.3638,2026-05-14,482.029999,DONE,-2.6706,2026-05-18,470.869995,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,ICHR,74.315002,77,73.333333,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,0.2624,2026-05-14,74.510002,DONE,-10.3815,2026-05-18,66.599998,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,IGV,88.599998,24,22.857143,FALSE,TRUE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,2.3025,2026-05-14,90.639999,DONE,4.8194,2026-05-18,92.870003,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,INTC,120.290001,64,60.952381,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,-3.6246,2026-05-14,115.930000,DONE,-10.0757,2026-05-18,108.169998,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,IRDM,43.090000,18,17.142857,FALSE,TRUE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,0.7890,2026-05-14,43.430000,DONE,0.7194,2026-05-18,43.400002,DONE,,,,PENDING,,,,PENDING,,,,PENDING
2026-05-14,2026-05-13,IREN,55.169998,95,90.47619,FALSE,FALSE,FALSE,FALSE,FALSE,F002,NO_BUY_TODAY_EVENT_OR_BUDGET_LOCKED,NO_NEW_BUYS_NOW,NONE,NONE,5.8546,2026-05-14,58.400002,DONE,-8.5372,2026-05-18,50.459999,DONE,,,,PENDING,,,,PENDING,,,,PENDING
