ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime,signal_bb_squeeze,signal_watch_positive,signal_pullback_watch,signal_old_overheat,signal_breakout_continuation,signal_exhaustion_risk,signal_overheat_unclassified,technical_read_center_label
ENTG,ENTG,2026-05-15,133.07,146.803,158.6092,134.9968,-0.0816,0.1608,True,BB_BELOW_LOWER,42.4444,RSI_WEAK,29.9408,44.2728,1.2767,KDJ_NEUTRAL,0.8883,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,True,False,True,False,False,False,False,PULLBACK_WATCH
ETR,ETR,2026-05-15,109.03,113.4525,117.941,108.964,0.0073,0.0791,False,BB_NEAR_LOWER,39.4966,RSI_WEAK,18.6327,27.5312,0.8358,KDJ_NEUTRAL,0.8893,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,False,True,False,False,False,False,PULLBACK_WATCH
FLR,FLR,2026-05-15,44.36,48.8325,56.0499,41.6151,0.1902,0.2956,False,BB_LOWER_HALF,39.1591,RSI_WEAK,21.9637,31.3646,3.1619,KDJ_NEUTRAL,1.1394,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,False,True,False,False,False,False,PULLBACK_WATCH
FORM,FORM,2026-05-15,126.27,140.5335,157.1247,123.9423,0.0701,0.2361,False,BB_NEAR_LOWER,45.022,RSI_NEUTRAL,27.6163,38.1362,6.5765,KDJ_NEUTRAL,1.3118,0,8,4,62.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,False,False,False,False,False,False,NEUTRAL
AMKR,AMKR,2026-05-15,70.35,73.115,78.731,67.499,0.2538,0.1536,True,BB_LOWER_HALF,53.013,RSI_NEUTRAL,40.9349,55.0025,12.7998,KDJ_NEUTRAL,0.7001,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,True,False,False,False,False,False,False,BB_SQUEEZE_ONLY
CLS,CLS,2026-05-15,358.55,393.864,434.9114,352.8166,0.0698,0.2084,False,BB_NEAR_LOWER,45.2194,RSI_NEUTRAL,20.8747,33.7651,-4.9059,KDJ_NEUTRAL,0.7578,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,False,False,False,False,False,False,NEUTRAL
CRDO,CRDO,2026-05-15,172.17,185.6037,206.7233,164.4842,0.182,0.2276,True,BB_LOWER_HALF,49.9867,RSI_NEUTRAL,33.9907,53.3377,-4.7033,KDJ_NEUTRAL,1.0358,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,True,False,False,False,False,False,False,BB_SQUEEZE_ONLY
CRWV,CRWV,2026-05-15,107.3,116.7322,133.15,100.3145,0.2127,0.2813,True,BB_LOWER_HALF,47.1632,RSI_NEUTRAL,29.1139,38.9872,9.3675,KDJ_NEUTRAL,0.9274,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,True,False,False,False,False,False,False,BB_SQUEEZE_ONLY
ETN,ETN,2026-05-15,399.44,413.4545,432.7346,394.1744,0.1366,0.0933,True,BB_LOWER_HALF,47.908,RSI_NEUTRAL,38.5431,43.2943,29.0408,KDJ_NEUTRAL,0.9694,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,True,False,False,False,False,False,False,BB_SQUEEZE_ONLY
GEV,GEV,2026-05-15,1049.23,1077.3865,1164.4404,990.3326,0.3383,0.1616,False,BB_LOWER_HALF,51.6933,RSI_NEUTRAL,35.6589,37.0395,32.8978,KDJ_DEAD_CROSS,0.7794,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,False,False,False,False,False,False,NEUTRAL
