factor_date,version,ticker,factor_id,factor_name,factor_value,rank_metric,status,reason,official_decision_impact,source,factor_rank,factor_zscore
2026-05-15,V18.1B,AMAT,F003,VOL_ADJ_MOMENTUM_20D,4.231649006105485,4.231649006105485,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,65,-0.20879664294234923
2026-05-15,V18.1B,AMAT,F004,PULLBACK_REPAIR_20D,1.4931022100169642,1.4931022100169642,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,69,0.09480902481817778
2026-05-15,V18.1B,AMAT,F005,DIST_TO_MA20,0.07606669825037793,-0.04606669825037793,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,27,0.6985654557012414
2026-05-15,V18.1B,AMD,F001,REL_STRENGTH_20D,0.4922678452181912,0.4922678452181912,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,6,1.9069000316906708
2026-05-15,V18.1B,AMD,F002,REL_STRENGTH_60D,1.0574696130600243,1.0574696130600243,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,6,1.8431457807294107
2026-05-15,V18.1B,AMD,F003,VOL_ADJ_MOMENTUM_20D,9.94899993337393,9.94899993337393,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,21,0.9524640612338265
2026-05-15,V18.1B,AMD,F004,PULLBACK_REPAIR_20D,0.980187022017502,0.980187022017502,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,80,-0.7577147858571502
2026-05-15,V18.1B,AMD,F005,DIST_TO_MA20,0.2339937145060067,-0.2039937145060067,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,99,-1.788117606018463
2026-05-15,V18.1B,AMKR,F001,REL_STRENGTH_20D,0.022258275143115958,0.022258275143115958,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,62,-0.28796630030478637
2026-05-15,V18.1B,AMKR,F002,REL_STRENGTH_60D,0.35563518778502057,0.35563518778502057,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,33,0.2880999535218473
2026-05-15,V18.1B,AMKR,F003,VOL_ADJ_MOMENTUM_20D,3.492463374257831,3.492463374257831,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,71,-0.35893387227740886
2026-05-15,V18.1B,AMKR,F004,PULLBACK_REPAIR_20D,0.9230473463040858,0.9230473463040858,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,85,-0.8526874737784234
2026-05-15,V18.1B,AMKR,F005,DIST_TO_MA20,-0.012005641628070385,-0.042005641628070384,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,22,0.7625099343269298
2026-05-15,V18.1B,AMZN,F001,REL_STRENGTH_20D,-0.053682352286138046,-0.053682352286138046,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,79,-0.6425963695360499
2026-05-15,V18.1B,AMZN,F002,REL_STRENGTH_60D,0.11516670657047934,0.11516670657047934,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,58,-0.24470307639662647
2026-05-15,V18.1B,AMZN,F003,VOL_ADJ_MOMENTUM_20D,5.32941840506024,5.32941840506024,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,55,0.014173134751935192
2026-05-15,V18.1B,AMZN,F004,PULLBACK_REPAIR_20D,0.9717444660183832,0.9717444660183832,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,81,-0.771747281249383
2026-05-15,V18.1B,AMZN,F005,DIST_TO_MA20,0.012780091770297597,-0.017219908229702402,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,11,1.152780483820866
2026-05-15,V18.1B,ANET,F001,REL_STRENGTH_20D,-0.20582903669353547,-0.20582903669353547,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,101,-1.3530960197393296
2026-05-15,V18.1B,ANET,F002,REL_STRENGTH_60D,-0.13041601803183323,-0.13041601803183323,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,85,-0.788837671928117
2026-05-15,V18.1B,ANET,F003,VOL_ADJ_MOMENTUM_20D,-1.951792438986316,-1.951792438986316,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,96,-1.4647257713280533
