source_id,source_path,raw_value,normalized_value,reason,row_number
V18_CURRENT_UNIVERSE_ROLLING_STATE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,105,105,INVALID_OR_SUSPICIOUS_TICKER_FORMAT,2
V18_CURRENT_UNIVERSE_ROLLING_STATE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,325,325,INVALID_OR_SUSPICIOUS_TICKER_FORMAT,3
STATE_V18_UNIVERSE_ROLLING_STATE,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,105,105,INVALID_OR_SUSPICIOUS_TICKER_FORMAT,2
STATE_V18_UNIVERSE_ROLLING_STATE,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,325,325,INVALID_OR_SUSPICIOUS_TICKER_FORMAT,3
