ticker,bucket,bucket_index,planned_today,last_scan_date,last_scan_status,days_since_last_scan,overdue_for_5day_window,source
AA,bucket_1,1,FALSE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
AAL,bucket_2,2,FALSE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
AAPL,bucket_3,3,TRUE,2026-05-21,KNOWN,0,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
ABR,bucket_4,4,FALSE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
ACLS,bucket_5,5,FALSE,2026-05-21,KNOWN,0,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
ACM,bucket_1,1,FALSE,2026-05-21,KNOWN,0,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
ACMR,bucket_2,2,FALSE,2026-05-21,KNOWN,0,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
ADBE,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
ADMA,bucket_4,4,FALSE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
ADSK,bucket_5,5,FALSE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
AEHR,bucket_1,1,FALSE,2026-05-21,KNOWN,0,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
AEIS,bucket_2,2,FALSE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
AEVA,bucket_3,3,TRUE,2026-05-19,KNOWN,2,FALSE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv
