source_id,relative_path,exists,row_count,ticker_count,selected,priority,parse_status,notes
V18_CURRENT_UNIVERSE_ROLLING_STATE,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TRUE,327,324,TRUE,1,CSV_FIELDS=48;TICKER_COLUMN=ticker,Selected canonical universe source.
STATE_V18_UNIVERSE_ROLLING_STATE,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TRUE,327,324,FALSE,2,CSV_FIELDS=48;TICKER_COLUMN=ticker,Usable fallback source.
V18_CURRENT_RAW105_FACTOR_PACK_RANKING,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,TRUE,105,105,FALSE,3,CSV_FIELDS=20;TICKER_COLUMN=ticker,Usable fallback source.
V18_CURRENT_RANKED_CANDIDATE_SCORE_EXPLANATION,outputs/v18/ranking/V18_CURRENT_RANKED_CANDIDATE_SCORE_EXPLANATION.csv,TRUE,20,20,FALSE,4,CSV_FIELDS=16;TICKER_COLUMN=ticker,Usable fallback source.
STATE_RAW105_UNIVERSE_FOR_FACTOR_LAB,state/v18/raw105_universe_for_factor_lab.csv,TRUE,105,105,FALSE,5,CSV_FIELDS=1;TICKER_COLUMN=ticker,Usable fallback source.
V18_16K_CURRENT_5DAY_UNIQUE_COVERAGE_MATRIX,outputs/v18/universe/V18_16K_CURRENT_5DAY_UNIQUE_COVERAGE_MATRIX.csv,TRUE,324,324,FALSE,6,CSV_FIELDS=10;TICKER_COLUMN=ticker,Usable fallback source.
V18_22D_STABLE_READ_FIRST,outputs/v18/ops/V18_22D_STABLE_READ_FIRST.txt,TRUE,0,,FALSE,context,TEXT_KEYS=47,Context/provenance source.
V18_22D_HOMEPAGE,outputs/v18/operator_homepage/V18_22D_CURRENT_DAILY_RESEARCH_OPERATOR_HOMEPAGE.md,TRUE,0,,FALSE,context,TEXT_KEYS=14,Context/provenance source.
V18_22C_STABLE_READ_FIRST,outputs/v18/ops/V18_22C_STABLE_READ_FIRST.txt,TRUE,0,,FALSE,context,TEXT_KEYS=71,Context/provenance source.
V18_22B_STABLE_READ_FIRST,outputs/v18/ops/V18_22B_STABLE_READ_FIRST.txt,TRUE,0,,FALSE,context,TEXT_KEYS=68,Context/provenance source.
V18_22A_STABLE_READ_FIRST,outputs/v18/ops/V18_22A_STABLE_READ_FIRST.txt,TRUE,0,,FALSE,context,TEXT_KEYS=56,Context/provenance source.
V18_ROLLING_SCAN_RUN_STATE,state/v18/universe/V18_ROLLING_SCAN_RUN_STATE.json,TRUE,0,,FALSE,context,JSON_OK,Context/provenance source.
V18_16K_CURRENT_5DAY_UNIQUE_COVERAGE_MATRIX,outputs/v18/universe/V18_16K_CURRENT_5DAY_UNIQUE_COVERAGE_MATRIX.csv,TRUE,324,,FALSE,context,CSV_FIELDS=10,Context/provenance source.
V18_16I_CURRENT_RECOMMENDED_SCAN_PLAN,outputs/v18/universe/V18_16I_CURRENT_RECOMMENDED_SCAN_PLAN.csv,TRUE,325,,FALSE,context,CSV_FIELDS=8,Context/provenance source.
