metric,value,expected,status,notes
R27J_STATUS,OK_V18_25A_R27J_RANKED_CANDIDATES_PREVIEW_READY,OK_V18_25A_R27J_RANKED_CANDIDATES_PREVIEW_READY,OK,
CURRENT_ROW_COUNT_BEFORE,250,250,OK,
PREVIEW_ROW_COUNT,252,252,OK,
CURRENT_ROW_COUNT_AFTER,252,252,OK,
TARGETS_PRESENT_AFTER_COUNT,2,2,OK,
DUPLICATE_TICKER_COUNT_AFTER,0,0,OK,
FORBIDDEN_MODIFIED,FALSE,FALSE,OK,
