ticker,in_total_universe,in_current_full_candidates_before,in_current_top_candidates_before,in_latest_signal_freeze,calculation_attempted,price_data_attempted,price_data_available,price_data_source,latest_price_date,history_row_count,history_start_date,history_end_date,factor_calculation_attempted,factor_calculation_success,technical_calculation_attempted,technical_calculation_success,ranking_merge_attempted,ranking_merge_success,factor_score,technical_timing_score,recomputed_composite_score,recomputed_rank,rank_eligible,calculation_status,failure_bucket,failure_reason,evidence_sources,factor_source_true,technical_source_true,score_source_true,factor_recomputed_by_v18_35d,factor_reused_from_raw105,legacy_factor_pack_used,authoritative_row_ok,authoritative_row_block_reason,raw_universe_token_count,sanitized_universe_count,invalid_pseudo_ticker_count,invalid_pseudo_tickers,yfinance_failed_ticker_count,yfinance_failed_tickers,yfinance_failed_ticker_count_raw,price_unavailable_excluded_count,price_unavailable_excluded_tickers,current_price_refresh_blocking_failed_ticker_count
GLW,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1421,2020-09-21,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,74.390894,50.0,44.756358,25,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
GNRC,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1421,2020-09-21,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,55.648383,40.0,34.259353,125,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
GOOG,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49.308304,50.0,34.723322,114,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
GOOGL,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1421,2020-09-21,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,48.852038,50.0,34.540815,120,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
GRAB,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25.54788,70.0,31.219152,176,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
GS,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,40.075829,30.0,25.030332,285,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
GSG,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,54.562256,70.0,42.824902,32,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
GT,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22.243469,60.0,26.897388,257,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
HIVE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,63.451087,30.0,34.380435,122,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
HLT,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37.613411,50.0,30.045364,190,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
