metric,value,expected,status,notes
CURRENT_RANKED_CANDIDATE_ROW_COUNT,252,252,OK,
TARGETS_PRESENT_COUNT,2,2,OK,
DUPLICATE_TICKER_COUNT,0,0,OK,
TARGET_SCORE_PRESENT_COUNT,2,2,OK,
FULL_CANDIDATE_FACTOR_JOIN_MISSING_COUNT,0,0,OK,
FULL_CANDIDATE_TECHNICAL_JOIN_MISSING_COUNT,0,0,OK,
FULL_CANDIDATE_PRICE_CACHE_MISSING_COUNT,0,0,OK,
FULL_CANDIDATE_ROLLING_LEDGER_MISSING_COUNT,0,0,OK,
LATEST_SIGNAL_FREEZE_RUN_ID,V18_25A_R21_20260523_022643,V18_25A_R21_20260523_022643,OK,
LATEST_SIGNAL_FREEZE_TICKER_COUNT,252,252,OK,
LATEST_SIGNAL_FREEZE_MATCHES_CURRENT_CANDIDATES,TRUE,TRUE,OK,
TARGETS_PRESENT_IN_LATEST_SIGNAL_FREEZE_COUNT,2,2,OK,
SIGNAL_FREEZE_REFRESH_RECOMMENDED,FALSE,FALSE,OK,
