STATUS: OK_V18_18B_COMPRESSION_APPLIED
MODE: APPLY
APPLY: TRUE
KEEP_LATEST_STABLE_SNAPSHOTS: 5
DELETE_ORIGINAL_AFTER_VERIFIED_ZIP: FALSE
ARCHIVE_LARGE_OUTPUTS: FALSE
TOTAL_SIZE_MB_BEFORE: 1623.089
ARCHIVE_STABLE_SIZE_MB: 848.028
STABLE_SNAPSHOT_FOLDER_COUNT: 44
STABLE_COMPRESSION_CANDIDATE_COUNT: 39
STABLE_COMPRESSION_CANDIDATE_MB: 820.848
ESTIMATED_STABLE_ZIP_SIZE_MB: 279.164
ESTIMATED_STABLE_SAVINGS_MB: 541.684
STABLE_ZIP_CREATED_COUNT: 39
STABLE_ZIP_CREATED_MB: 279.164
STABLE_ORIGINAL_DELETED_COUNT: 0
STABLE_ORIGINAL_DELETED_MB: 0.000
LARGE_OUTPUT_CANDIDATE_COUNT: 4
LARGE_OUTPUT_CANDIDATE_MB: 529.905
OUTPUT_ZIP_CREATED_COUNT: 0
OUTPUT_ZIP_CREATED_MB: 0.000
OUTPUT_ORIGINAL_DELETED_COUNT: 0
OUTPUT_ORIGINAL_DELETED_MB: 0.000
SOURCE_CODE_DELETED_COUNT: 0
CURRENT_ALIAS_DELETED_COUNT: 0
MANUAL_STATE_DELETED_COUNT: 0
PRICE_CACHE_DELETED_COUNT: 0
LATEST_STABLE_SNAPSHOT_PROTECTED: TRUE
V18_16G_R1_PROTECTED: TRUE
CURRENT_DAILY_MODIFIED: FALSE
STABLE_SNAPSHOT_MODIFIED: FALSE
VALIDATION_FAIL_COUNT: 0
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE
