component_name,script_path,expected_output,ran_this_run,component_status,read_first_path,validation_fail_count,notes
V18.16A,scripts/v18/run_v18_16A_universe_rolling_state_builder.ps1,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TRUE,OK_V18_16A_UNIVERSE_ROLLING_STATE_BUILDER_READY,outputs/v18/ops/V18_16A_READ_FIRST.txt,0,"RESEARCH_COUNT: 18
CURRENT_RANKED_CANDIDATE_IMPORTED_COUNT: 317
FORWARD_TRACKER_IMPORTED_COUNT: 112
MANUAL_POSITION_IMPORTED_COUNT: 0
VALIDATION_FAIL_COUNT: 0
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE"
V18.16B,scripts/v18/run_v18_16B_rolling_scan_scheduler.ps1,outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv,TRUE,OK_V18_16B_ROLLING_SCAN_SCHEDULER_READY,outputs/v18/ops/V18_16B_READ_FIRST.txt,0,"CANDIDATE_SCAN_COUNT: 273
WATCHLIST_SCAN_COUNT: 0
RESEARCH_SCAN_COUNT: 0
LOW_PRIORITY_SCAN_DEFERRED_COUNT: 18
VALIDATION_FAIL_COUNT: 0
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE"
V18.16C,scripts/v18/run_v18_16C_scan_scoped_data_update.ps1,outputs/v18/data/V18_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,TRUE,OK_V18_16C_SCAN_SCOPED_DATA_UPDATE_READY,outputs/v18/ops/V18_16C_READ_FIRST.txt,0,"FULL_FACTOR_DATA_COUNT: 45
MEDIUM_TREND_DATA_COUNT: 273
LIGHT_PLUS_DATA_COUNT: 0
LIGHT_DATA_COUNT: 0
VALIDATION_FAIL_COUNT: 0
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE"
V18.16D,scripts/v18/run_v18_16D_priority_based_light_scanner.ps1,outputs/v18/universe/V18_CURRENT_PRIORITY_LIGHT_SCAN_RESULT.csv,TRUE,OK_V18_16D_PRIORITY_BASED_LIGHT_SCANNER_READY,outputs/v18/ops/V18_16D_READ_FIRST.txt,0,"SCANNED_LATEST_ONLY_COUNT: 1
PROMOTION_CANDIDATE_COUNT: 173
DEMOTION_CANDIDATE_COUNT: 136
UNSELECTED_TICKER_SCAN_COUNT: 0
VALIDATION_FAIL_COUNT: 0
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE"
V18.16E,scripts/v18/run_v18_16E_promotion_demotion_engine.ps1,outputs/v18/universe/V18_CURRENT_PROMOTION_DEMOTION_AUDIT.csv,TRUE,WARN_V18_16E_PROMOTION_DEMOTION_ENGINE_VALIDATION_FAILED,outputs/v18/ops/V18_16E_READ_FIRST.txt,1,"STRONG_WATCH_COUNT: 127
WATCHLIST_COUNT: 0
RESEARCH_COUNT: 18
AUTO_DEMOTED_POSITION_COUNT: 0
VALIDATION_FAIL_COUNT: 1
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
OFFICIAL_DECISION_IMPACT: NONE"
V18.15B/V18.15A manual feedback,scripts/v18/run_v18_15B_current_daily_with_manual_feedback.ps1,outputs/v18/ops/V18_15B_CURRENT_DAILY_WITH_MANUAL_FEEDBACK_REPORT.md,TRUE,OK_V18_15B_CURRENT_DAILY_WITH_MANUAL_FEEDBACK_READY,outputs/v18/ops/V18_15B_READ_FIRST.txt,0," 
V18_14E_CURRENT_DAILY_WITH_FORWARD_TRACKER_FAILED
所在位置 D:\us-tech-quant\scripts\v18\run_v18_15B_current_daily_with_manual_feedback.ps1:56 字符: 5
+     throw ""V18_14E_CURRENT_DAILY_WITH_FORWARD_TRACKER_FAILED""
+     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : OperationStopped: (V18_14E_CURRENT..._TRACKER_FAILED:String) [], RuntimeException
    + FullyQualifiedErrorId : V18_14E_CURRENT_DAILY_WITH_FORWARD_TRACKER_FAILED
 "
