metric,value
STATUS,OK_V18_15B_CURRENT_DAILY_WITH_MANUAL_FEEDBACK_READY
RUN_MODE,READ_CENTER_REFRESH_ONLY
FORWARD_TRACKER_RUN,RAN
MANUAL_FEEDBACK_RUN,RAN
V18_14E_STATUS,OK_V18_14E_CURRENT_DAILY_WITH_FORWARD_TRACKER_READY
V18_15A_STATUS,OK_V18_15A_MANUAL_POSITION_TRADE_FEEDBACK_READY
POSITION_COUNT,0
TRADE_LOG_ROWS,0
LINKED_SIGNAL_ROWS,0
UNLINKED_POSITION_ROWS,0
CURRENT_PRICE_AVAILABLE_ROWS,0
CURRENT_PRICE_MISSING_ROWS,0
TRACKER_ROWS,57
PENDING_FORWARD_ROWS,0
TOP_5_TICKERS,"APH,VIAV,FORM,ACM,SITM"
VALIDATION_FAIL_COUNT,0
FAIL_REASONS,NONE
OFFICIAL_DECISION_IMPACT,NONE
AUTO_TRADE,DISABLED
AUTO_SELL,DISABLED
READ_ONLY,TRUE
CURRENT_ENTRY_ONLY,TRUE
MANUAL_FEEDBACK_INTEGRATED,TRUE
DANGEROUS_TOKEN_DETECTED,NO
