rank,ticker,column_name,ticker_value,pool_median,pool_percentile,driver_class,source_file,role_label,attribution_mode
1,FORM,rank,1,159.5000,0.3145,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
1,FORM,composite_candidate_score,59.2,32.4906,100.0000,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
1,FORM,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
1,FORM,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
1,FORM,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
1,FORM,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
1,FORM,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
1,FORM,technical_status,TECH_TIMING_PULLBACK_WATCH,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
1,FORM,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
1,FORM,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
