source_path,archive_group,proposed_later_action,size_mb,confidence,reason,reference_count,referenced_by_sample,source_exists,zip_path,zip_verified
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v18/factor_validation/V18_2A_FACTOR_VALIDATION_DETAIL.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.606,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260519_105611.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.062,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw105_decision/v17_8A_raw105_full_decision_daily.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.060,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_213854.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.059,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_212518.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.057,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_164754.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.054,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_131254.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.052,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
outputs/v18/factor_audit/V18_4D_FACTOR_PACK_AUDIT_20260519_105352.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.050,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_130825.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.050,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
outputs/v18/factor_audit/V18_4D_FACTOR_PACK_AUDIT_20260518_213632.csv,OLD_GENERATED_REPORTS,DELETE_AFTER_ARCHIVE_VERIFICATION_CANDIDATE,0.045,HIGH,Verified archived original from OLD_GENERATED_REPORTS; eligible for later delete step.,0,,TRUE,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,TRUE
